id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
95,Crystals,Architecture,Molecular Symmetry,-1,"['Molecular Symmetry', 'atom', 'Plants', 'Mirrors', 'Chemical Reactions', 'Ice Cream', 'crime', 'Circuits', 'gas molecules', 'object slides', 'The Puzzle', 'a three-dimensional puzzle', 'Crime Scene', 'Walls', 'Solving Puzzles', 'book', 'Buildings', 'Houses', 'A Jigsaw Puzzle', 'Alphabet']","[0.3809351991730209, 0.34102798233133597, 0.3339519217683784, 0.32522843420422465, 0.3245116375317489, 0.31934738643832017, 0.31820785166948007, 0.31742713144523965, 0.315435587777113, 0.3135956714601984, 0.31341957869689907, 0.3108335070412821, 0.3067316966574366, 0.30438223877990833, 0.3014580450001463, 0.29699993443778444, 0.2962991096645268, 0.2958345717373196, 0.29532994409754343, 0.29000220361617024]"
96,Chemistry,Leaping Over Barriers,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'Reactor', 'laboratory', 'Molecular Symmetry', 'heat', 'research', 'Burning Energy', 'life', 'Math', 'cooking', 'Cooking', 'gas molecules', 'understanding', 'engine', 'respiration', 'competition', 'heat transfer', 'Human Body', 'Circuits']","[0.6681508533693332, 0.4741185407497481, 0.4392325176403371, 0.4158084122478404, 0.41154595340641753, 0.4101462951782105, 0.4097683192253977, 0.40812795339290475, 0.3875712773364508, 0.38158257890711356, 0.37634342086177963, 0.372885197185048, 0.3710083796309465, 0.3677449788814755, 0.3643302690182725, 0.36363196809255316, 0.35444456891922793, 0.3539979322394025, 0.35186293603703983, 0.35130103768926246]"
97,Chemistry,Crowd,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'life', 'Molecular Symmetry', 'Math', 'gas molecules', 'laboratory', 'Human Body', 'research', 'Group Behavior', 'heat', 'cooking', 'Cooking', 'Human Relationships', 'love', 'heat transfer', 'Burning Energy', 'understanding', 'Evolution', 'politics']","[0.5790473611826208, 0.47818376829899956, 0.41668389270761336, 0.41583667434893185, 0.4061866260318192, 0.40512667190908613, 0.4043635455728518, 0.3884578619638065, 0.3754644561509844, 0.37202921470649475, 0.36963655418876995, 0.36884688746898886, 0.36738910005805514, 0.3642968502467523, 0.36224438943332793, 0.35691568755605474, 0.35641216737580395, 0.35391780912890036, 0.3512108726668357, 0.3489027655002121]"
98,Chemistry,Construction Work,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'laboratory', 'life', 'Molecular Symmetry', 'research', 'heat', 'Reactor', 'Human Body', 'gas molecules', 'cooking', 'Burning Energy', 'Math', 'Cooking', 'engine', 'Crime Scene', 'Ecosystem', 'heat transfer', 'Group Behavior', 'Biological Evolution']","[0.6558659229784949, 0.46303976463970276, 0.44124882534214305, 0.4287397883084265, 0.42720566281827144, 0.4016412466649889, 0.3992694807279022, 0.3973278999613725, 0.3943958008648001, 0.39062127601290686, 0.3888544624125991, 0.388242825382056, 0.38581574089825044, 0.38290988758276756, 0.37860196333165064, 0.37716769851993326, 0.37669919104132643, 0.37155787817885655, 0.36700979065002626, 0.36581564050092474]"
99,Chemical Reaction,Friction,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'engine', 'respiration', 'Mathematical Calculations', 'Burning Energy', 'Evolution', 'heat', 'Recipes', 'laboratory', 'heat transfer', 'research', 'Spread of Fire', 'life', 'Biological Evolution', 'atom', 'Supply Chain', 'Molecular Symmetry', 'Ecosystem', 'Circuits']","[0.8823589525827478, 0.5288289428572839, 0.4251675295915566, 0.3927581708149348, 0.3634353749858253, 0.36292873295512385, 0.3606077147415179, 0.35904084505324385, 0.3568088470273967, 0.3518173154520271, 0.35142976771455303, 0.34786668080373634, 0.346107375565885, 0.3425948814873444, 0.3421513264625021, 0.3415053575190429, 0.336611248817379, 0.33261987257261916, 0.3299351075884907, 0.3223975851864011]"
100,Periodic Table,Alphabet,atom,18,"['atom', 'Molecular Symmetry', 'Chemical Reactions', 'gas molecules', 'Plants', 'laboratory', 'Musical Notes', 'planet', 'Circuits', 'pendulum motion', 'CPU', 'clock', 'book', 'China', 'Reactor', 'time', 'theory', 'Alphabet', 'The Constitution of 1787', 'The Writing System']","[0.4623026244665441, 0.38135149066113944, 0.35715174067043187, 0.31687502911820886, 0.29263651403813223, 0.2787022532451867, 0.2762274135621945, 0.276174246650495, 0.27389132503281827, 0.2720379057410913, 0.27144174059060133, 0.26982925129246565, 0.2697309249598606, 0.26948234069641364, 0.26893718580006565, 0.2686273206135776, 0.26164183939690566, 0.2611335094617912, 0.25747072874095545, 0.2532730766691008]"
101,Chemical Analysis,Translation,Chemical Reactions,-1,"['Chemical Reactions', 'Molecular Symmetry', 'laboratory', 'Crime Scene', 'Mathematical Calculations', 'research', 'atom', 'Prospecting', 'Math', 'Electronic Signal Transmission', 'Reactor', 'cooking', 'gas molecules', 'The Law of Means', 'Deciphering the Code', 'Archeology', 'theory', 'heat transfer', 'heat', 'Urban Entropy Increase']","[0.537543501956228, 0.4148797009534936, 0.41258092785229805, 0.3765996610633409, 0.365311686743802, 0.36157681539222086, 0.35476880297595126, 0.3508857191060135, 0.3465391446031874, 0.3411149513439352, 0.33795401347637166, 0.3361660138661142, 0.3299423516140252, 0.3295418194981791, 0.32335600651979546, 0.3229336430926688, 0.318423321251232, 0.31735125181398227, 0.3164541201059361, 0.31340982367202797]"
102,Chemistry,Dance,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'atom', 'laboratory', 'Molecular Symmetry', 'research', 'heat', 'gas molecules', 'Supply Chain', 'time', 'Burning Energy', 'cooking', 'heat transfer', 'Friction', 'life', 'Circuits', 'Group Behavior', 'crime', 'respiration', 'engine']","[0.6963620887527788, 0.45453691584109723, 0.4331938612953697, 0.3940180677441138, 0.3862957535452162, 0.3671886543209865, 0.36512856535272276, 0.358746212245852, 0.34296129599153313, 0.3404399796377875, 0.33255219560147753, 0.3314098076692269, 0.33114795553267506, 0.32978994510094456, 0.328577374013058, 0.3263128228247672, 0.3249048799466486, 0.32204930399356413, 0.3219030629144132, 0.3187840950379689]"
103,chemical element,human,atom,-1,"['atom', 'Chemical Reactions', 'gas molecules', 'Circuits', 'Reactor', 'life', 'laboratory', 'nation', 'Molecular Symmetry', 'Building', 'Buildings', 'Houses', 'CPU', 'engine', 'Computer Processor', 'Plants', 'camera', 'Ecosystem', 'Cooking', 'idea']","[0.5927289738270367, 0.5140669877033011, 0.4070453276848994, 0.3389659167572522, 0.3337499376049572, 0.33052320844418176, 0.3277805004086891, 0.32777156144591474, 0.3244319382804822, 0.319146696372551, 0.31543433373266333, 0.3126811735208448, 0.31112648726234127, 0.30937477549389714, 0.3042835504649708, 0.30171832105270247, 0.2907734655859399, 0.2888155498705436, 0.2886983009814012, 0.28660937421080673]"
104,Chemical reaction,object slides,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'engine', 'respiration', 'Spread of Fire', 'Evolution', 'heat', 'Burning Energy', 'laboratory', 'heat transfer', 'research', 'Mathematical Calculations', 'Recipes', 'Biological Evolution', 'life', 'Computer', 'atom', 'cooking', 'Ecosystem', 'edit']","[0.8670475638368269, 0.5310884147037265, 0.41231062132020646, 0.378837553128817, 0.36450479464946195, 0.36100044629193945, 0.36030206108513496, 0.35382321893201485, 0.3508875879580754, 0.3497241610644427, 0.346705272400521, 0.3389216973063597, 0.3379466758435421, 0.33761625496279973, 0.3302472629402299, 0.32592756842551945, 0.32275186653430116, 0.3220418225880538, 0.32103001602777187, 0.31738122694818793]"
105,Chemical Reaction,Urban Transportation,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'engine', 'respiration', 'Burning Energy', 'atom', 'laboratory', 'heat transfer', 'Circuits', 'research', 'Mathematical Calculations', 'Evolution', 'Spread of Fire', 'Molecular Symmetry', 'heat', 'life', 'natural selection', 'Computer', 'Ecosystem', 'gas molecules']","[0.8375815893823667, 0.5052412095673054, 0.4414803832217871, 0.40082091787424345, 0.3712911001448683, 0.36914875957383597, 0.36679971341985695, 0.36029275683525874, 0.3567779945034786, 0.3549879710131453, 0.3515937759891121, 0.3514644888987322, 0.34619973325527714, 0.3453365213603428, 0.33972125794388147, 0.3396929974576013, 0.33950663667367054, 0.3388043768636704, 0.3367321415721455, 0.33668943023182035]"
106,Chemistry,The Movie,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'laboratory', 'Math', 'Molecular Symmetry', 'Reactor', 'life', 'Cooking', 'research', 'gas molecules', 'cooking', 'Human Body', 'heat', 'politics', 'Human Relationships', 'Group Behavior', 'Burning Energy', 'heat transfer', 'theory', 'Crime Scene']","[0.619091848247798, 0.45031483439147735, 0.4432283355756015, 0.4412235530586819, 0.43345770764241753, 0.4112410617144269, 0.4034158647405586, 0.39528664238470657, 0.3922601922870083, 0.3920063395263627, 0.38388695871064243, 0.38100565527010943, 0.37823733939223625, 0.3662845216650615, 0.3645529898188449, 0.3618246777817494, 0.3555243157321778, 0.3537523504079064, 0.3473997254361078, 0.34594214856323763]"
107,Chemistry,Cooking,Chemical Reactions,16,"['Chemical Reactions', 'atom', 'Molecular Symmetry', 'laboratory', 'Math', 'life', 'heat', 'gas molecules', 'Group Behavior', 'Crime Scene', 'theory', 'cooking', 'Human Relationships', 'research', 'politics', 'Cooking', 'Friction', 'Human Body', 'heat transfer', 'knowledge']","[0.564611340680712, 0.45740631820755184, 0.41219291291106497, 0.4112355719666986, 0.4098599621579957, 0.4017857106292161, 0.3881260372422416, 0.38123729171832466, 0.37250279007724374, 0.3669002529485859, 0.36653104739810344, 0.3653256414072166, 0.3617282273680249, 0.36130441324399126, 0.3601319221061794, 0.3538655010035917, 0.3514635549296601, 0.3490355311125038, 0.3479869494478698, 0.33807485892227385]"
108,Chemical Substances,Human Emotions,Chemical Reactions,-1,"['Chemical Reactions', 'gas molecules', 'atom', 'Buildings', 'Molecular Symmetry', 'life', 'Houses', 'Machines', 'laboratory', 'Plants', 'engine', 'Reactor', 'Burning Energy', 'Supply Chain', 'Diseases', 'Circuits', 'Human Body', 'the cleaners', 'house', 'Friction']","[0.6013540001427858, 0.47402259761731935, 0.43151079511581525, 0.3668691217677569, 0.3634340197491159, 0.35515661739498394, 0.35116027662017235, 0.3431402201525635, 0.3410595559369227, 0.3395969986288143, 0.33728281837026, 0.3372664874481804, 0.3371172683886085, 0.3332855016314127, 0.33280224804264325, 0.33228048216327827, 0.32338234256110493, 0.3219496209630799, 0.319816492793925, 0.319065080130579]"
109,Chemistry,Football Game,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'Molecular Symmetry', 'gas molecules', 'politics', 'life', 'laboratory', 'cooking', 'heat', 'Group Behavior', 'Math', 'theory', 'Cooking', 'research', 'Human Body', 'Human Relationships', 'Crime Scene', 'Burning Energy', 'love', 'Supply Chain']","[0.5859302991371269, 0.45997601636668417, 0.43102334588260316, 0.4087577723945911, 0.4001158253996645, 0.39954097773679836, 0.38798196421622716, 0.3820225284130512, 0.3791427253489812, 0.37205438727501466, 0.3710582678487716, 0.367764742212262, 0.36442586446117553, 0.36420265238545296, 0.3594535963112767, 0.3520589922878218, 0.35127304400037684, 0.34686539426156704, 0.34267824220587156, 0.33858570255299314]"
110,Chemical Reaction,Computer,Chemical Reactions,12,"['Chemical Reactions', 'Reactor', 'engine', 'research', 'Mathematical Calculations', 'laboratory', 'heat transfer', 'respiration', 'heat', 'atom', 'Recipes', 'Computer', 'Circuits', 'Spread of Fire', 'Supply Chain', 'Evolution', 'Biological Evolution', 'Burning Energy', 'Molecular Symmetry', 'cooking']","[0.8971247256771575, 0.5197476871591206, 0.42199164977465353, 0.38161389220347075, 0.38158302084051576, 0.3757866150042633, 0.3750634398206981, 0.3746397243896403, 0.3735331648962252, 0.3643022426092972, 0.3583421448501474, 0.35593631566826334, 0.35472297136879816, 0.34660188875343867, 0.3443733797183005, 0.34272327415369064, 0.3380639691972799, 0.3368089388536611, 0.33372797549849914, 0.33321405788978975]"
111,Chemical Reactions,Mathematical Calculations,Chemical Reactions,5,"['Chemical Reactions', 'Reactor', 'engine', 'respiration', 'Mathematical Calculations', 'atom', 'gas molecules', 'laboratory', 'heat transfer', 'Molecular Symmetry', 'Circuits', 'Burning Energy', 'Biological Evolution', 'heat', 'life', 'research', 'Recipes', 'Spread of Fire', 'Supply Chain', 'Machines']","[0.9013065994550797, 0.4819655029915979, 0.41058229474018393, 0.4027281408641376, 0.3987727861530266, 0.3876110556957011, 0.38511676569227016, 0.37377177827208563, 0.37313178708830985, 0.3687776950966956, 0.3656307148995359, 0.3643032121252978, 0.36100020736572314, 0.35733153036257304, 0.35163215626610056, 0.35068270824214415, 0.34462407064810713, 0.34341633762966706, 0.3431412406036937, 0.3395379613969831]"
112,Chemistry,Buy and Sell,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'Molecular Symmetry', 'gas molecules', 'life', 'laboratory', 'heat', 'Reactor', 'politics', 'Group Behavior', 'cooking', 'Human Body', 'Math', 'research', 'Crime Scene', 'Burning Energy', 'Friction', 'Archeology', 'Disease', 'Cooking']","[0.6289206266844514, 0.45453571947395266, 0.4029452781830837, 0.39021431639644544, 0.38865810015873065, 0.3828459207430026, 0.3818179019404759, 0.35948799930568526, 0.35722875577762886, 0.3500806045188408, 0.3489195980229364, 0.34529665024243505, 0.3421511899651392, 0.3414502658495502, 0.340110511072853, 0.33973378539761123, 0.3310238971425117, 0.33086811005554934, 0.3307496871403278, 0.3274342090233352]"
113,Chemical Reaction,Vehicle Traffic,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'engine', 'Burning Energy', 'respiration', 'heat', 'heat transfer', 'Biological Evolution', 'laboratory', 'research', 'Mathematical Calculations', 'Evolution', 'Ecosystem', 'Spread of Fire', 'Supply Chain', 'ecosystem', 'bacterial mutation', 'life', 'natural selection', 'Recipes']","[0.8413700837345813, 0.478219852801147, 0.44651415072761264, 0.3992461450114021, 0.3847278636353462, 0.37973058027790224, 0.3657962402259445, 0.35975979780397216, 0.3546375508743097, 0.3487055343391764, 0.34770073629070836, 0.3465643643518279, 0.3410846982216419, 0.33294536697487875, 0.33085931156060355, 0.3255572330811809, 0.3246401773610703, 0.322457906148773, 0.3214511993638056, 0.31824532246876225]"
114,Chemistry,A Jigsaw Puzzle,Chemical Reactions,-1,"['Chemical Reactions', 'atom', 'Molecular Symmetry', 'Group Behavior', 'Math', 'laboratory', 'gas molecules', 'heat', 'life', 'research', 'politics', 'Reactor', 'theory', 'cooking', 'Supply Chain', 'Human Body', 'Disease', 'love', 'understanding', 'Crime Scene']","[0.6011882518730258, 0.453914278651829, 0.42494009255971715, 0.4068575982246478, 0.39922215715998033, 0.38569056031368176, 0.37228606319832847, 0.3715119939817171, 0.36790186097138594, 0.366798938450077, 0.3654084667360991, 0.36387366792643633, 0.35914938823827824, 0.35705595106969856, 0.35213651979671523, 0.3519152106300971, 0.3517880315808146, 0.34680000482493145, 0.34614479920485053, 0.3410154908279865]"
115,Chiral Molecules,Human Hands,Molecular Symmetry,7,"['Molecular Symmetry', 'Chemical Reactions', 'gas molecules', 'Mirrors', 'life', 'bacterial mutation', 'Human Hands', 'The Brain', 'Biological Evolution', 'Human Body', 'atom', 'Vortex', 'Deciphering the Code', 'Supply Chain', 'resonance cavity', 'Reactor', 'The Law of Means', 'sponge', 'Diseases', 'Human Relationships']","[0.5604263017538689, 0.4232091436179571, 0.3634439573417028, 0.301669080174187, 0.29864018808399806, 0.28946222821541, 0.2883290428330927, 0.28693157364483196, 0.2765432126824381, 0.26589955216433436, 0.26406796236418284, 0.2638057430987124, 0.25991600482658556, 0.25309846892164634, 0.2523687948461476, 0.25008524317246583, 0.24503338882577136, 0.24355223797370557, 0.24321203399166133, 0.24162127371004744]"
116,Amphiphile,neutral country,sponge,-1,"['sponge', 'Molecular Symmetry', 'life', 'Chemical Reactions', 'love', 'company', 'tidal phenomena', 'Human Relationships', 'Water Wave Propagation', 'atom', 'Reactor', 'laboratory', 'Wave Propagation', 'object slides', 'gas molecules', 'Alphabet', 'Deciphering the Code', 'Financial Equilibrium', 'Makeup', 'Ecosystem']","[0.3743905589366856, 0.32530038688051094, 0.2923205078362257, 0.29064945085163485, 0.28784376716252025, 0.2743817933527867, 0.2736587506998187, 0.27181839457006407, 0.27114633730160925, 0.26986731719167095, 0.26862790579269996, 0.2664738026635427, 0.26084862003702725, 0.25942657976340444, 0.25877907101570274, 0.2576295898714363, 0.25426917886536005, 0.2487478141787331, 0.24677059285244507, 0.24644411774813546]"
117,Enantiomers,Human Hands,Molecular Symmetry,11,"['Molecular Symmetry', 'Mirrors', 'Chemical Reactions', 'Financial Equilibrium', 'resonance cavity', 'understanding', 'Deciphering the Code', 'idea', 'gas molecules', 'Vortex', 'Human Hands', 'Solving Puzzles', 'Electronic Signal Transmission', 'electromagnetic emission system', 'The Law of Means', 'research', 'Reactor', 'Competition', 'competition', 'ideas']","[0.4488920248758836, 0.28748935178375, 0.2864489577569102, 0.2581937214586252, 0.2578681821510761, 0.2509555409173081, 0.2471945021289301, 0.24082519407729697, 0.23906995832224945, 0.2376816119933502, 0.23367945337394225, 0.2237800242763749, 0.220041218020797, 0.2161463556860732, 0.2141675698544923, 0.21315884828180515, 0.21009432764816724, 0.20955832462352386, 0.20910539891083238, 0.20701307750956766]"
118,Functional Group,Occupation,Molecular Symmetry,13,"['Molecular Symmetry', 'Chemical Reactions', 'gas molecules', 'Families', 'family', 'Group Behavior', 'government', 'atom', 'company', 'Reactor', 'Alphabet', 'Factory', 'Occupation', 'laboratory', 'Information Flow', 'Musical Notes', 'Machines', 'Plants', 'Houses', 'Human Relationships']","[0.4675110728803094, 0.3861804020327947, 0.37922630080761977, 0.3768794098708276, 0.37092681602826166, 0.35092239663766195, 0.33067298684952173, 0.3269499905530431, 0.32198682175523163, 0.3196607199690467, 0.3154684323471739, 0.3087696857134471, 0.2913252897613423, 0.2892373167855604, 0.28721492265519166, 0.28448243523120537, 0.2820888661839187, 0.2814302968763197, 0.2770179369256539, 0.27581288606506954]"
119,Polymer Synthesis,Cooking,Chemical Reactions,-1,"['Chemical Reactions', 'Reactor', 'Molecular Symmetry', 'Spread of Fire', 'Supply Chain', 'program', 'Building Repair', 'Balloons', 'engine', ""the factory's production line"", 'company', 'Human Relationships', 'laboratory', 'Wave Propagation', 'Factory', 'the replicator', 'Printing', 'innovation', 'Plants', 'Printers']","[0.4883215787421466, 0.36297528340272467, 0.32889718580509425, 0.3043242194117477, 0.29454144216122213, 0.2942497316143282, 0.2927641930826629, 0.29067562416541126, 0.29019399921095435, 0.28772267685502345, 0.2830948593262671, 0.2785724736906822, 0.2696181557797735, 0.2686985695901546, 0.2678803075433881, 0.2669934319780215, 0.2667823824184559, 0.2667007799597053, 0.2657451148365039, 0.2646446029204178]"
120,Polymer Structure,Buildings,Molecular Symmetry,6,"['Molecular Symmetry', 'Chemical Reactions', 'politics', 'Human Relationships', 'family', 'Buildings', 'Plants', 'atom', 'Balloons', 'Families', 'Disease', 'life', 'government', 'society', 'gas molecules', 'Library', 'human', 'Diseases', 'laboratory', 'love']","[0.4249338321082407, 0.3692592692878871, 0.3559319809249394, 0.3514060742381666, 0.3456582518316615, 0.32538347727800276, 0.32520436842629397, 0.32329512447516784, 0.32181186069937373, 0.3188367296657967, 0.31833138910169123, 0.3157422915904168, 0.31568566065504694, 0.31446106258497203, 0.3093647303153115, 0.30390309320629993, 0.3037821054558135, 0.3019937283270134, 0.2970218852500064, 0.29457688655625647]"
121,High Molecular Polymers,Families,Molecular Symmetry,-1,"['Molecular Symmetry', 'Chemical Reactions', 'gas molecules', 'Greenhouses', 'human', 'Taylor Expansion', 'the replicator', 'company', 'object slides', 'Greenhouse', 'Human Relationships', 'Machines', 'program', ""the factory's production line"", 'Deciphering the Code', 'Reactor', 'Wave Propagation', 'Cookie Making', 'Immunity', 'The Law of Means']","[0.4331084536467687, 0.3418933007859842, 0.32276179958753864, 0.28218742503319233, 0.270915281860278, 0.2564401221249017, 0.25447230052555425, 0.25369392214104053, 0.24742109378529414, 0.24489677838830837, 0.24383856562295633, 0.24050159358724332, 0.23919227967917345, 0.23872089497852936, 0.23739921734418104, 0.23700665683050975, 0.2356944117163231, 0.234971864418901, 0.23468707638891434, 0.23335732060795344]"
122,Polymer Composites,Gourmet,Molecular Symmetry,-1,"['Molecular Symmetry', 'cocoon', 'Wave Propagation', 'Friction', 'Construction Workers', 'Chemical Reactions', 'Reactor', 'Balloons', 'Computer Processor', 'the replicator', 'Competition', 'Bridge', 'Construction Work', 'Buildings', 'Plants', 'Circuits', 'Makeup', 'sponge', 'air filter', 'Supply Chain']","[0.3116285542665357, 0.30897537655355534, 0.30591610745602715, 0.3023791556391705, 0.3019640432407866, 0.30038701492455216, 0.29729402100702057, 0.2937190039890898, 0.29324223307425346, 0.2910318404263049, 0.28956987655044486, 0.2892344444882937, 0.28729911996674745, 0.28534768092824725, 0.284502682798097, 0.27997774032201783, 0.27866699693582203, 0.2774844677620355, 0.2770111454312889, 0.27697222010530664]"
123,Polymer Surface Modification,Makeup,Chemical Reactions,3,"['Chemical Reactions', 'Molecular Symmetry', 'Makeup', 'program', 'Skin System', 'Building Repair', 'Reactor', 'Diseases', 'Group Behavior', 'innovation', 'Disease', 'Sun Protection', 'Balloons', 'Occupation', 'Drug Treatment', 'edit', 'Supply Chain', 'Disassembly', 'Wave Propagation', 'Friction']","[0.3548104689756119, 0.3512318354833678, 0.33431376215738556, 0.30603520356878694, 0.2990465096194301, 0.2905909755783097, 0.2871626367056497, 0.28319987030091487, 0.27950012224923404, 0.27914697899798246, 0.27866846026480024, 0.2776271867577901, 0.27388868933287547, 0.2732947488645825, 0.2721606643279154, 0.27200748472111086, 0.2703774457342978, 0.2700862329513259, 0.2621743317315036, 0.2619182707475578]"
124,The Swarm,A Distributed Computing System,Group Behavior,-1,"['Group Behavior', 'Crowd', 'The Brain', 'Competition', 'human', 'signal', 'Urban Evolution', 'competition', 'Vortex', 'The Hunt', 'sponge', 'Molecular Symmetry', 'Population Movement', 'Evolution', 'society', 'Biological Evolution', 'life', 'The Nervous System', 'tidal phenomena', 'Neural Networks']","[0.47199843163053923, 0.3989560854308885, 0.3799949803697179, 0.376030628715582, 0.3585545157581282, 0.3571090279535293, 0.3532369099469634, 0.3529280175365331, 0.3528117352747807, 0.34771125274208314, 0.34554469880023786, 0.3249169372130926, 0.32235191078646386, 0.3182194666546947, 0.31803037554970326, 0.31793096656795516, 0.31744797014345827, 0.3135840818437442, 0.3135578959314315, 0.31297759088687876]"
125,The Brain,The Neural Network of Computers,The Brain,7,"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'Human Body', 'mind', 'Neural Networks', 'The Neural Network of Computers', 'memory', 'human', 'Heart', 'CPU', 'the skeletal system', 'Computer Processor', 'Computer', 'Machines', 'Plants', 'life', 'respiration', 'Human Hands', 'sponge']","[0.8619575536089477, 0.754831823269605, 0.6872585337526866, 0.5358507023109623, 0.5133115383715373, 0.5131721202613267, 0.4787710215040714, 0.4674733386248162, 0.46485758566626595, 0.45694597184577507, 0.42614565717755704, 0.42146268348362015, 0.3938960329774887, 0.37607490578162656, 0.37469397082684286, 0.3742440694685546, 0.37080595652027526, 0.36580311059703713, 0.3567259007390874, 0.3454111415242086]"
126,Deep Learning,How the Human Brain Works,The Neural Network of Computers,-1,"['The Neural Network of Computers', 'Neural Networks', 'Computer', 'Machines', 'Robotic Movement', '3D Projection', 'A Distributed Computing System', 'Deafness', 'The Law of Means', 'Disassembly', 'Finding Nearest Neighbors', 'Drawing', 'Math', 'Translation', 'skill', 'understanding', 'Deciphering the Code', 'Transportation Systems', 'laboratory', 'memory']","[0.5889707741528586, 0.5880802870253019, 0.3789484566685133, 0.3460895474263772, 0.34503892976627926, 0.33201616005998735, 0.32415023730532966, 0.3227363621406969, 0.31711531185395697, 0.311646485579921, 0.3098989167474626, 0.30809989297144647, 0.3068713905135377, 0.30395252578708065, 0.30105423355049177, 0.2975140085093948, 0.29729085576115916, 0.2969895100208288, 0.2958420778641163, 0.29383805034967114]"
127,Deep Learning,The Brain,Neural Networks,-1,"['Neural Networks', 'The Neural Network of Computers', 'Deafness', 'The Law of Means', 'A Distributed Computing System', 'Disassembly', '3D Projection', 'Finding Nearest Neighbors', 'Math', 'Drawing', 'Computer', 'memory', 'understanding', 'Seismic Imaging', 'Machines', 'skill', 'The Nervous System', 'Democracy', 'communication networks', 'Robotic Movement']","[0.5781920981024511, 0.5086332223731665, 0.3537264100473264, 0.33979169115334606, 0.307271311099843, 0.30585579594440415, 0.30528050969775233, 0.3042727895087225, 0.30274083811498953, 0.30055235042759465, 0.29423692393967005, 0.2935896952024199, 0.29030628656892166, 0.28181660857438195, 0.28159845930762606, 0.2794793078344936, 0.2786368038017874, 0.27682813781686216, 0.2742381899677764, 0.2730569477415584]"
128,Computer Networks,Neural Networks,communication networks,3,"['communication networks', 'The Neural Network of Computers', 'Neural Networks', 'A Distributed Computing System', 'Computer', 'Circuits', 'code', 'The Nervous System', 'Transportation Systems', 'Firewall', 'research', 'signal', 'Computer Code', 'Human Relationships', 'The Brain', 'Electronic Signal Transmission', 'laboratory', 'Operating System', 'Printers', 'Finding Nearest Neighbors']","[0.5975362162133466, 0.45255629184909774, 0.4307572627628806, 0.35814696813792274, 0.341942969764262, 0.33582410259621986, 0.33309346023752817, 0.3320169375735207, 0.3199647827004084, 0.316246814683132, 0.30897555809508603, 0.30710926338995614, 0.30579548121688527, 0.2989582781627686, 0.2922964838976792, 0.28802754167307615, 0.2866557668156809, 0.27958264324626325, 0.2787927525717057, 0.26862408174993596]"
129,Computer Systems,Urban,Computer,-1,"['Computer', 'Machines', 'CPU', 'Computer Processor', 'Operating System', 'Computer Code', 'A Distributed Computing System', 'Circuits', 'sound system', 'Factory System', 'The Neural Network of Computers', 'program', 'Transportation Systems', 'code', 'Printers Print Documents', 'Printers', 'The Nervous System', 'car', 'Neural Networks', 'Robotic Movement']","[0.7957836565294566, 0.6535136194028275, 0.6353751440559676, 0.6351214973023139, 0.5971023944067924, 0.526116503977476, 0.5227422481013622, 0.5061252860324724, 0.4760160512750853, 0.47560066679397345, 0.46278098137254164, 0.4598418386467955, 0.44870739713207786, 0.4438885094593901, 0.4430056781320998, 0.440048639434007, 0.43463254167148463, 0.43448387713051884, 0.43151851080840564, 0.41430306388097426]"
130,Artificial Intelligence,The Nervous System,Neural Networks,-1,"['Neural Networks', 'The Neural Network of Computers', 'Computer', 'Machines', 'Robotic Movement', 'Transportation Systems', 'innovation', 'ideas', 'Robotic arm', 'skill', 'idea', 'air filter', 'Translation', 'program', 'Air handling system', 'CPU', 'Computer Code', 'research', 'Archeology', 'The Puzzle']","[0.5119855942067326, 0.5016815496437796, 0.4277979496082004, 0.40988968483583665, 0.39318671763766966, 0.38389514083729537, 0.37428198479616037, 0.3723935018393876, 0.3721944614405638, 0.36435424489430573, 0.3600041122110427, 0.3300183264423827, 0.32422025724796166, 0.3210109662731848, 0.31692873664179716, 0.31496927499329247, 0.30632409953841633, 0.3051987202365573, 0.3045068488527888, 0.30273675153310353]"
131,Computer,Factory,Computer,-1,"['Computer', 'Computer Processor', 'CPU', 'Machines', 'Computer Code', 'Operating System', 'The Neural Network of Computers', 'Printers', 'program', 'Circuits', 'Printers Print Documents', 'A Distributed Computing System', 'code', 'camera', 'sound system', 'The Brain', 'Neural Networks', 'clock', 'Car', 'Camera']","[0.8931536195123937, 0.6514217094324588, 0.6412887955709695, 0.602487149751023, 0.5531603719875136, 0.508847610528283, 0.5056007642134573, 0.5015419868715536, 0.496619918998227, 0.48227763578475036, 0.47697518725922, 0.45370427336066077, 0.4382879140736685, 0.4292260918006562, 0.41017882791427673, 0.40643269504188295, 0.4037009082833349, 0.4029553240068272, 0.4007040332172578, 0.4002926830936834]"
