id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
62,artificial selection,natural selection,natural selection,1,"['natural selection', 'Planting', 'Biological Evolution', 'Evolution', 'bacterial mutation', 'innovation', 'the replicator', 'Pedigree Trees', 'ideas', 'edit', 'Plants', 'human', 'competition', 'Factory System', 'Prospecting', 'Greenhouses', 'factory', 'idea', 'signal', 'Machines']","[0.6460310031525331, 0.36696518837278724, 0.34385715608467127, 0.33883104585561125, 0.31861269353852434, 0.3020688909909389, 0.29782919668796026, 0.29640010711003517, 0.29002070517387657, 0.2781335515901778, 0.2748617927124332, 0.26985946696090646, 0.26910759389954436, 0.26412523606534677, 0.256437142367701, 0.2526194949565471, 0.25186766178364406, 0.25167493660916596, 0.25045194620481603, 0.24504539668908232]",name_only,artificial selection,"Artificial selection, also known as selective breeding, is a process where humans intentionally choose which plants or animals will sexually reproduce and produce offspring with specific phenotypic traits. This has resulted in the creation of breeds in domesticated animals and varieties, cultigens, cultivars or breeds in domesticated plants. Selective breeding is conducted by professional or amateur breeders through techniques such as inbreeding, linebreeding, and outcrossing. While it can produce desirable results, it can also result in unintended consequences. Charles Darwin used artificial selection to support the theory of natural selection in his book, On the Origin of Species. Today, selective breeding is widely used in agriculture and experimental biology to produce crops with desirable traits or to study genetic inheritance.",
63,slot machine,bacterial mutation,A Pinball Game,-1,"['A Pinball Game', 'Machines', 'clock', 'car', 'shelf', 'line', 'signal', 'program', 'camera', 'book', 'sound system', 'kirigami', 'Dominoes', 'the replicator', 'factory', 'code', 'object slides', 'Lock', 'sport', 'memory']","[0.4757132491482998, 0.45090960384049306, 0.3787814692369146, 0.35504496673446645, 0.3412519803042462, 0.3409051555575966, 0.33060336424976333, 0.32689700512444697, 0.3228330844651104, 0.31776056976299083, 0.3163424459444174, 0.3148815127026998, 0.3133282435898625, 0.3008459732130805, 0.2994602391828389, 0.2967615942416012, 0.29631759817902803, 0.29276762787773747, 0.29191793871834815, 0.2918489263022481]",name_only,slot machine,"A slot machine is a type of gambling machine that involves chance and luck. Its layout features a screen with three or more reels that spin when activated, with the ultimate aim of winning money by aligning symbols following the rules of the game. While it used to require a lever to be pulled to spin the reels, most machines today operate using buttons and touchscreens. Slot machines accept various forms of payment, including coins, cash, vouchers, or tokens. While winning is the ultimate goal, it's important to understand that the odds of losing are very high, hence the common phrase ""one-armed bandit"". Despite this, slot machines continue to be the most popular form of gambling in casinos, contributing an average of 70% of a casino's income. With the advent of digital technology, modern slot machines come with advanced bonus rounds, more interactive elements, graphics, and are designed to make gameplay more exciting.",
64,Migraines,Circuit Malfunction,Diseases,-1,"['Diseases', 'Disease', 'Blindness', 'illness', 'difficulties', 'Deafness', 'wrinkles', 'The Brain', 'Mirrors', 'Heart', 'blind', 'Dominoes', 'Miner', 'Maps', 'Blankets', 'mind', 'The Nervous System', 'Machines', 'Walls', 'Neural Networks']","[0.36055598166220426, 0.32113211457731383, 0.2991035733168839, 0.28455838801696515, 0.265175861295118, 0.2648129670640794, 0.2530409403130025, 0.25119953158908204, 0.24978656249399586, 0.24815308414509823, 0.23912577739138013, 0.23809882245075922, 0.2335755269812525, 0.2302032200601814, 0.22177759706323402, 0.21912554378068816, 0.2184469850919185, 0.21827680948111705, 0.21682563739451222, 0.21529762498873656]",name_only,Migraines,"Migraine is a neurological disorder that affects a significant percentage of people worldwide. Characterized by pulsating headaches that often affect one side of the head, migraines can last from a few hours to a few days and are often accompanied by non-headache symptoms such as nausea, vomiting, and sensitivity to light, sound, or smell. The exact causes of migraines are not yet fully understood, though it is believed that a combination of genetic and environmental factors play a role. Some people also experience aura, a visual disturbance that signals an impending migraine. Treatment usually involves pain medication, medication for nausea, and avoiding triggers. There are also medications that can help prevent future attacks. Despite being a common condition, migraines can be disabling and negatively impact a person's quality of life. The word migraine originates from the Greek words for ""half"" and ""skull,"" referring to the often one-sided head pain associated with this condition.",
65,Sperm Motility,Robotic Movement,Robotic Movement,1,"['Robotic Movement', 'Population Movement', 'Molecular Symmetry', 'Sailing', 'pendulum motion', 'Wave Propagation', 'lubrication system', 'Vortex', 'Water Wave Propagation', 'Friction', 'Evolution', 'bacterial mutation', 'Machines', 'Transportation Systems', 'Biological Evolution', 'Robotic arm', 'Group Behavior', 'Car', 'Vehicle Traffic', 'The Law of Means']","[0.37641711284428636, 0.36420568089174454, 0.3208517003900282, 0.28005978595345044, 0.27682471112324775, 0.2748804451312048, 0.2732095711918696, 0.25760014855869817, 0.2501052230979901, 0.24539693076609292, 0.24222354001919494, 0.24007636683236833, 0.23867428642144983, 0.23218472646226465, 0.23004332318273213, 0.22601383513340795, 0.22249196850627936, 0.22194150824544767, 0.22188387914064153, 0.22015222434970078]",name_only,Sperm Motility,"Sperm motility is a crucial factor in the fertilization process, as it describes the ability of sperm to move properly through the female reproductive tract and reach the egg. The movement of the tail, or flagellum, confers motility upon the sperm and is driven by ATP produced by mitochondria. The axoneme, constructed of microtubules, is attached to a basal body and plays a role in shaping the waveform of the tail. Sperm motility is activated by changes in ion concentration, pH, calcium ion, and cAMP. Inadequate sperm motility is a common cause of subfertility or infertility, and several measures are available to improve sperm quality. Without technological intervention, a non-motile or abnormally-motile sperm is not going to fertilize, making sperm motility a critical aspect of successful conception.",
66,Prostate,lubrication system,Human Body,12,"['Human Body', 'The Brain', 'Heart', 'Prospecting', 'planet', '3D Projection', 'CPU', 'atom', 'sport', 'Regulator', 'Disease', 'lubrication system', 'engine', 'human', 'universe', 'signal', 'Skin System', 'Crowd', 'state', 'Reactor']","[0.3585761563859545, 0.3261055005757594, 0.30638624664304137, 0.3039999011986811, 0.2993048995432549, 0.2942062790300429, 0.2807590964375523, 0.27339192056636086, 0.2666852989446683, 0.2651781555848195, 0.26514024078575815, 0.2644662095010448, 0.2621801848789418, 0.2611522832670624, 0.25979004825250135, 0.25970319986673984, 0.2586237949671553, 0.2585233975910048, 0.25835004358700286, 0.2581988049023045]",name_only,Prostate,"The prostate is an essential gland in the male reproductive system, found below the bladder with the urethra running through its center. It contains glandular and connective tissues that produce and store a slightly alkaline prostatic fluid that forms part of semen. The prostatic fluid plays a vital role in the overall reproductive process, including neutralizing the acidity of the vagina, improving sperm motility, prolonging their lifespan, and providing genetic material protection. Disorders of the prostate include enlargement, inflammation, infection, and cancer. Proper care of the prostate can help maintain its function and minimize the risk of potentially life-threatening illnesses. Understanding the role of prostatic fluid and sperm in reproductive health is crucial for all men.",
67,Skeletal System,Building Structure,the skeletal system,6,"['the skeletal system', 'Skin System', 'Human Body', 'The Nervous System', 'The Brain', 'Building Structure', 'The Writing System', 'Transportation Systems', 'Factory System', 'Robotic Movement', 'Robotic arm', 'Operating System', 'Machines', 'Human Hands', 'A Distributed Computing System', 'Molecular Symmetry', 'Biological Evolution', 'Foundation Series', 'sound system', 'Families']","[0.8453205756131984, 0.6110552057660088, 0.4950169770284417, 0.4943254108927317, 0.3923266524850321, 0.36107760783671516, 0.3586986656478092, 0.34301344022515917, 0.33521273336346713, 0.32811016876068383, 0.3239324464666364, 0.31560083296222685, 0.3113388786686123, 0.30701470397767827, 0.2920334617262575, 0.2894194407500445, 0.2893825303531845, 0.28756716008836825, 0.2839309378661512, 0.28088111539871424]",name_only,Skeletal System,"The skeletal system is the internal framework of the body that provides support and structure. Composed of bones, joints, and muscles, it is responsible for movement, protection of internal organs, and the production of red and white blood cells. The skeleton is categorized into exoskeleton, endoskeleton, and hydroskeleton, depending on the type of organism. Vertebrates have an endoskeleton made up of bone and cartilage surrounding the spinal column, while invertebrates have a variety of skeletal systems depending on their species. Regardless of the type, the skeletal system is essential for maintaining the shape and function of the body.",
68,Blood sugar regulation,electronic scale automatically adjusts,Regulator,2,"['Regulator', 'electronic scale automatically adjusts', 'Skin System', 'Drug Treatment', 'Human Body', 'Immunity', 'Financial Balance', 'Financial Equilibrium', 'Baking', 'The Nervous System', 'Burning Energy', 'Sun Protection', 'Blindness', 'Diseases', 'Neural Networks', 'Healing', 'Biological Evolution', 'the skeletal system', 'Cookie Making', 'Human Emotions']","[0.31298736412319705, 0.2888683659402804, 0.2880925829808593, 0.27205324187884855, 0.2580608477966636, 0.2560150910204406, 0.25463500921053395, 0.24659340085627007, 0.24603345988524014, 0.2414019208893015, 0.22993535603744839, 0.22128148076456894, 0.2109705766562744, 0.20954622538709108, 0.2082582854745461, 0.20764921358506833, 0.20547030042841968, 0.20523671110695263, 0.20339140034399478, 0.20288361425063922]",name_only,Blood sugar regulation,"Blood sugar regulation is an essential process for maintaining overall health and wellness. It refers to the body's ability to keep blood sugar levels within a narrow range to prevent complications related to either high or low blood sugar. This process is primarily achieved through the actions of two hormones, insulin and glucagon, which are secreted by the pancreas. Insulin helps to lower blood sugar levels by allowing glucose to enter cells where it can be used for energy or stored for future use. On the other hand, glucagon helps to raise blood sugar levels by stimulating the liver to release stored glucose into the bloodstream. In addition to insulin and glucagon, there are other hormones involved in glucose regulation, such as incretins, which stimulate insulin secretion and help to regulate blood sugar after meals. Maintaining healthy blood sugar levels is crucial for preventing complications such as diabetes, heart disease, and nerve damage. By understanding the role of insulin, glucose regulating hormones, and other factors involved in blood sugar regulation, individuals can make informed choices to promote optimal health and prevent these potentially serious conditions.",
69,Reproductive System,Factory System,Skin System,2,"['Skin System', 'Factory System', 'The Nervous System', 'the skeletal system', 'lubrication system', 'Human Body', 'Ecosystem', 'Operating System', 'Transportation Systems', 'the replicator', 'ecosystem', 'A Distributed Computing System', 'The Writing System', 'Biological Evolution', 'Chinese Political System', 'Plants', 'Families', 'Reactor', 'Human Relationships', 'Circular Economy']","[0.4844104594245749, 0.4245707796413185, 0.40529977317760624, 0.3671195384459779, 0.36650754024892274, 0.3592427579733876, 0.35666094075861593, 0.3554896199082669, 0.34023684485832717, 0.33195594260570893, 0.3295309100863506, 0.3281793060031615, 0.3181476582069013, 0.3162711373664837, 0.30644057530833824, 0.30569892650000047, 0.30564004808338885, 0.3053158632406547, 0.29509320889230617, 0.29168539730821363]",name_only,Reproductive System,"The reproductive system of an organism is an intricate biological system that comprises of various organs that play a significant role in sexual reproduction. The system involves the production and transportation of gametes or sex cells, such as sperm in males and eggs in females. The organs of the reproductive system include the testes in males and ovaries in females, which produce the gametes. The sperm travel through the vas deferens in males, while the eggs travel through the oviduct in females. Both the egg and the sperm meet during fertilization, which results in the formation of a zygote. The reproductive system is designed to allow for a combination of genetic material between two individuals, which enables the offspring to have a higher genetic fitness. Overall, the reproductive system is crucial for the continuation of a species and allows for the creation of new life.",
70,immune desert,Desert,Desert,1,"['Desert', 'Dust Storm', 'neutral country', 'Ancient Western Asia', 'forest', 'Sun Protection', 'India', 'Into the Wild', 'planet', 'Fortress Besieged', 'blind', 'natural selection', 'Army', 'state', 'Spread of Fire', 'War', 'Islam', 'Urban', 'illness', 'poverty']","[0.7583164988346932, 0.467633125134512, 0.3338062694989792, 0.3286452027589482, 0.3272455422421262, 0.29100939224064243, 0.28868109123798624, 0.2839451846341604, 0.2823860582323766, 0.2802475821412442, 0.27923791111274654, 0.2768393293710867, 0.27616092946127413, 0.2697731954323825, 0.2692320246079537, 0.26737640367167587, 0.26647297919952484, 0.2618976456367401, 0.26119795925597866, 0.25969494563220774]",name_only,immune desert,"The desert tortoise, scientifically known as Gopherus agassizii, is a fascinating species of tortoise that can be found in the Mojave and Sonoran Deserts of the United States and Mexico. This species of tortoise is known for its longevity, with a lifespan ranging from 50 to 80 years. The desert tortoise spends most of its time in burrows, rock shelters, and pallets to regulate body temperature and reduce water loss. During their seasonally active periods, they are known to stimulate their cells to improve their immunity, which enables them to tolerate water, salt, and energy imbalances on a daily basis. Their unique ability to regulate their body functions helps them to survive in extremely hot and cold desert conditions. With these traits, it's no wonder the desert tortoise is the official state reptile in California and Nevada.",
71,microRNA,sponge,mind,-1,"['mind', 'line', 'signal', 'bacterial mutation', 'memory', 'Regulator', 'CPU', 'atom', 'program', 'Molecular Symmetry', 'engine', 'clock', 'camera', 'kirigami', 'code', 'Mirrors', 'edit', 'Nie Haihua', 'China', 'Disease']","[0.3125913152211406, 0.30875984801206025, 0.30440545667090013, 0.30338525079139256, 0.2997381650623615, 0.29796307559023916, 0.2953014308551839, 0.28958139728606636, 0.2870498734404383, 0.2841936778481039, 0.28302185982207195, 0.27414135693556674, 0.2729574872417755, 0.2691625394373626, 0.2671110188652366, 0.26242586072153307, 0.2594165340557347, 0.2584706203665715, 0.2583159364770864, 0.2568592568104608]",name_only,microRNA,"MicroRNA (miRNA) is a small non-coding RNA molecule consisting of 21 to 23 nucleotides that plays a crucial role in post-transcriptional regulation of gene expression in various organisms. The miRNAs usually target mRNA transcripts of genes and induce gene silencing, mainly by cleaving the mRNA strand or destabilizing it. miRNAs have a significant role in controlling gene expression, and their abundance is observed in many mammalian cell types and extracellular circulating miRNAs. These circulating miRNAs are present in body fluids like blood and cerebrospinal fluid and have the potential to be used as biomarkers for a range of diseases. MiRNAs target over 60% of the genes of humans and other mammals and are evolutionarily conserved, signifying their importance in biological functions. Additionally, studies have proved the importance of conserved miRNAs in mice through which several genes of a family were knocked out.",
72,Cytokine Storm,Dust Storm,Dust Storm,1,"['Dust Storm', 'Disease', 'Immunity', 'Crowd', 'Diseases', 'Drama', 'Spread of Fire', 'Crime Scene', 'Reactor', 'Ecosystem', 'A Distributed Computing System', 'Vortex', 'Skin System', 'communication networks', 'CPU', 'Healing', 'War', 'Fortress Besieged', 'bacterial mutation', 'Chemical Reactions']","[0.4168016930573852, 0.34110064495863857, 0.331912053663855, 0.31448371246063267, 0.3001605787989169, 0.2734728070918245, 0.2624623848282188, 0.2608952120762707, 0.25563841645118246, 0.24640628788780167, 0.24251105600030698, 0.24094070161661507, 0.23872511168079477, 0.23526405183632176, 0.23437359623293608, 0.23251447013105914, 0.23093848865561548, 0.23016603296324387, 0.2292834067449953, 0.22888798694590928]",name_only,Cytokine Storm,"Cytokine Storm is an overreaction of the immune system, which can lead to excessive cell damage in various organs of the body, particularly in the lungs. Cytokines are usually released by the immune system to fight off infections, but in the case of a cytokine storm, the levels of cytokines become dangerously high, causing more harm than good. This physiological reaction occurs due to a variety of infectious and non-infectious causes and affects different populations, including those with familial hemophagocytic lymphohistiocytosis or systemic juvenile idiopathic arthritis. There are several types of cytokine storm syndromes, including sepsis and cytokine release syndrome, which can cause a range of symptoms and organ damage if left untreated. In this article, we will explore the details of cytokine storm syndrome and its effects on the body.",
73,Alveoli,Balloons,air circulation ducts,4,"['air circulation ducts', 'Plants', 'air filter', 'Balloons', 'respiration', 'atom', 'sponge', 'Heart', 'Walls', 'cocoon', 'Reactor', 'Houses', 'Buildings', 'lift', 'Deafness', 'Baking', 'Greenhouses', 'Alphabet', 'CPU', 'Air handling system']","[0.3509693234320531, 0.32451016932553833, 0.30064254256514555, 0.29312206130323026, 0.2908336462305716, 0.288556788658664, 0.282018513223808, 0.2792550465344227, 0.2783265668692567, 0.26898112757877557, 0.26374483142629535, 0.2602817632256445, 0.25272506223182906, 0.2521466348134477, 0.24885118254045313, 0.247429646865934, 0.24663343637928847, 0.24586263212671672, 0.2456037386531708, 0.24159385713006443]",name_only,Alveoli,"The alveoli are tiny, air-filled sacs found within the lungs of most mammals, including humans. These structures are of great importance in the process of respiration, as they are where the exchange of gases takes place. As air is inhaled, it enters the lungs and travels through a network of bronchioles, eventually reaching the alveoli. Here, oxygen from the air diffuses across the thin walls of the alveoli and into the bloodstream, while carbon dioxide, a waste gas produced by the body, moves in the opposite direction and is exhaled. The presence of the alveoli is what allows us to breathe and obtain the oxygen we need to survive. Due to their small size and delicate structure, the alveoli are particularly vulnerable to damage from smoking, pollution, and other irritants, which can lead to respiratory problems and diseases such as emphysema. Maintaining healthy lungs and supporting proper respiratory function is crucial for overall health and well-being.",
74,Respiratory system,air circulation ducts,respiration,7,"['respiration', 'Air handling system', 'Skin System', 'The Nervous System', 'the skeletal system', 'Transportation Systems', 'air circulation ducts', 'Human Body', 'Water pipe system', 'lubrication system', 'Ecosystem', 'air filter', 'sound system', 'Plants', 'resonance cavity', 'Operating System', 'Reactor', 'ecosystem', 'electromagnetic emission system', 'Heart']","[0.5542690628272128, 0.5167897537537673, 0.4631332223558482, 0.4239582531566486, 0.4175962468468282, 0.39352378051661296, 0.3802584320126412, 0.3782599670691884, 0.3722729168044218, 0.36640323157886223, 0.342093591374261, 0.34115725972062705, 0.33686828672716823, 0.32040112311526536, 0.31989670676120074, 0.3164301922713221, 0.3035351926326343, 0.29211945258892225, 0.2831057131644764, 0.28214629767479465]",name_only,Respiratory system,"The respiratory system is a crucial biological system found in animals, plants, and even insects. In land animals, such as mammals, reptiles, and birds, the respiratory surface is internalized as linings of the lungs, where millions of small air sacs, called alveoli in mammals and atria in birds, exchange gases between the external environment and the bloodstream. The trachea, bronchi, and bronchioles form a system of airways that transport air to and from the lungs, while muscles of respiration facilitate the process of breathing. Fish and other aquatic animals, on the other hand, use gills for gas exchange, which are exposed to the watery environment. Insects have simple respiratory systems, and in amphibians, the skin also plays a role in gas exchange. Plants also have respiratory systems with anatomical features such as stomata, which are found in various parts of the plant. Overall, the respiratory system is essential for facilitating the act of breathing, allowing for the exchange of gases necessary for survival.",
75,Nasal cavity,air filter,resonance cavity,4,"['resonance cavity', 'air circulation ducts', 'Air handling system', 'air filter', 'Deafness', 'Human Body', 'Walls', 'Skin System', 'Car', 'Greenhouse', 'File Cabinet', 'Houses', 'Mirrors', 'gas molecules', 'Vortex', 'Heart', 'shelf', 'Crime Scene', 'Desert', 'Circuits']","[0.45424484239449975, 0.37695938049368255, 0.3011293171391866, 0.2950329631070859, 0.2681781144320319, 0.24702411515396225, 0.24133518545736882, 0.23993216300447442, 0.23321438220860768, 0.22938009891280264, 0.22793149890368591, 0.22762606684804698, 0.2250130876616515, 0.2225113297162113, 0.22030497535041832, 0.21946662318459062, 0.21620223826501667, 0.21592598705417937, 0.2153563133547226, 0.21453343205347447]",name_only,Nasal cavity,"The nasal cavity is a crucial part of the respiratory system, situated in the middle of the face above and behind the nose. The nostrils lead to the two cavities, also known as fossae, that make up the nasal cavity, which is responsible for filtering, warming, and humidifying the inhaled air before it moves down to the rest of the respiratory tract. The nasal cavity is also surrounded by the paranasal sinuses, which drain into it. Nose hair and mucus lining the cavity's walls trap bacteria and other particles, preventing them from entering the lungs and causing harm to the body.",
76,Digestive System,Factory,Skin System,-1,"['Skin System', 'The Nervous System', 'Human Body', 'Transportation Systems', 'the skeletal system', 'The Brain', 'Operating System', 'Ecosystem', 'lubrication system', 'Diseases', 'Disease', 'Biological Evolution', 'The Writing System', 'A Distributed Computing System', 'Water pipe system', 'Air handling system', 'Chemical Reactions', 'Cooking', 'Factory System', 'Immunity']","[0.4962412421469035, 0.4777186655659213, 0.4446356811904585, 0.3757930953888419, 0.37067966179804845, 0.365905693591529, 0.3601185334791587, 0.34518886944103744, 0.34483993634476345, 0.335605053986428, 0.31312783987531057, 0.30763046027144375, 0.3060753419700653, 0.29785796655534025, 0.2960253648996619, 0.2944740956898849, 0.28889821786510705, 0.28874898054351034, 0.288243838227526, 0.28559247909487007]",name_only,Digestive System,"The digestive system is a complex and essential system responsible for breaking down food into smaller molecules that the body can absorb and utilize for energy. It consists of various organs, including the mouth, stomach, and intestine, which work together to facilitate mechanical and chemical digestion. Through the process of peristalsis, the food travels down the esophagus and into the stomach, where gastric juice breaks down proteins, and mechanical mixing continues. Once the partially digested food enters the small intestine, it mixes with digestive enzymes from the pancreas and bile juice from the liver, where it is fully digested and absorbed into the bloodstream. The large intestine absorbs water and minerals before waste material is eliminated through defecation. Overall, the digestive system is a vital process in the body that allows for the absorption of nutrients essential for survival.",
77,Macrophages,the cleaners,Immunity,-1,"['Immunity', 'The Brain', 'Crowd', 'Plants', 'Human Body', 'Diseases', 'Neural Networks', 'Computer', 'mind', 'Disease', 'memory', 'Families', 'CPU', 'The Nervous System', 'Machines', 'Skin System', 'Computer Processor', 'Evolution', 'Makeup', 'Reactor']","[0.33609595565885686, 0.33191474894590933, 0.3189308717993147, 0.30959441569032337, 0.2936304133307295, 0.29242615644570297, 0.287842405599116, 0.28532256361151886, 0.28340450874016754, 0.282969048686298, 0.28256977159239965, 0.27363211379373775, 0.2704981209743764, 0.26924531944004937, 0.2679683337243396, 0.2577132218196564, 0.25542591268263287, 0.2551794441150521, 0.2540420019105012, 0.25226949904380475]",name_only,Macrophages,"Macrophages, or ""large eaters,"" are white blood cells that play a crucial role in the body's immune system by engulfing and digesting harmful pathogens, cancer cells, and foreign substances through the process of phagocytosis. They are present in all tissues and are part of the mononuclear phagocyte system, taking various forms and performing various functions. Beyond increasing inflammation and stimulating the immune system, macrophages also have an important anti-inflammatory role and can decrease immune reactions through the release of cytokines. They are classified as either M1 macrophages, which encourage inflammation, or M2 macrophages, which decrease inflammation and encourage tissue repair. The identification of macrophages can be through flow cytometry or immunohistochemical staining using specific proteins like CD14, CD40, CD11b, CD64, F4/80 (mice)/EMR1 (human), lysozyme M, MAC-1/MAC-3, and CD68. Élie Metchnikoff, a Russian zoologist, discovered and named macrophages in 1884.",
78,Disability of the plant,cocoon,Plants,-1,"['Plants', 'Planting', 'Blindness', 'Diseases', 'Deafness', 'Disease', 'Pedigree Trees', 'difficulties', 'illness', 'Circuit Malfunction', 'Greenhouse', 'Program Error', 'Disassembly', 'Greenhouses', 'Sun Protection', 'Tree', 'Wind Power', 'Immunity', 'forest', 'The Nervous System']","[0.49746197925429747, 0.41052335903629283, 0.3690256711653582, 0.3572760760368784, 0.3569508765978458, 0.34168001273339754, 0.2828917299809842, 0.2823678823628625, 0.274160675325691, 0.2593458770059384, 0.2509697163089123, 0.25064747244253643, 0.24732961674414905, 0.24195959111275728, 0.23824797997383768, 0.23512998506716537, 0.2350853535537915, 0.23009163620503081, 0.22773938560543777, 0.224679203487407]",name_only,Disability of the plant,"I'm sorry, but the keywords provided do not match the description of the item provided. Could you please provide a revised description and set of keywords?",
79,Immunological Memory,Final Exam,Immunity,-1,"['Immunity', 'memory', 'Healing', 'Time Machine', 'Neural Networks', 'Molecular Symmetry', 'The Brain', 'Biological Evolution', 'Skin System', 'Cookie Making', 'The Nervous System', 'mind', 'communication networks', 'knowledge', 'Human Body', 'bacterial mutation', 'Disease', 'Recipes', 'electromagnetic emission system', 'The Neural Network of Computers']","[0.5941691106483716, 0.4332468714475083, 0.30858648336148425, 0.27018631858845066, 0.26891973369958777, 0.255201873136671, 0.2522045673264404, 0.2513806432097595, 0.24968568295121213, 0.24278686799662696, 0.23134376803460494, 0.23097179262228543, 0.22981741128763072, 0.22946174443173192, 0.22620343313204422, 0.22458767939737506, 0.22281020050738093, 0.2207373010011074, 0.220642441648793, 0.21348213937392385]",name_only,Immunological Memory,"Immunological memory refers to the immune system's ability to quickly and accurately recognize an antigen that the body has previously encountered, resulting in the initiation of a corresponding immune response. The adaptive immune system, through the generation of antigen-specific receptors (TCR, antibodies), plays a major role in adaptive immune memory. Following the initial immune response to a danger-associated antigen, some of the antigen-specific T and B cells persist in the body as long-living memory cells. This memory allows for a faster and more robust secondary response to the same antigen. This process is the basis of vaccination. Exciting new research suggests that even the innate immune system can initiate a more efficient immune response after previous exposure to a pathogen or PAMPs/DAMPs, respectively. Innate immune memory (trained immunity) is neither antigen-specific nor dependent on gene rearrangement but is instead caused by changes in epigenetic programming and shifts in cellular metabolism. Innate immune memory has been observed in both invertebrates and vertebrates.",
80,Immunity and Immunity,Immunity,Immunity,1,"['Immunity', 'Healing', 'Diseases', 'Disease', 'illness', 'The Nervous System', 'Skin System', 'Human Body', 'Evolution', 'The Brain', 'Human Relationships', 'knowledge', 'Molecular Symmetry', 'Families', 'Ecosystem', 'Democracy', 'Sun Protection', 'Neural Networks', 'Human Emotions', 'Population Movement']","[0.8062100357286451, 0.33403740368852364, 0.30850228502510807, 0.30385809823784693, 0.300162135275829, 0.28810390095311167, 0.2632211105547629, 0.2603409406214573, 0.2585196727984239, 0.2310185907118968, 0.2286995954793347, 0.22211127676294093, 0.2182002020472153, 0.21720206070951323, 0.21549122824897957, 0.21224546556592314, 0.21068732207449642, 0.20985903420983557, 0.20839317827894144, 0.20510823251077476]",name_only,Immunity and Immunity,"The immune system is a complex network of cells, tissues, and organs that work together to protect the body from harmful pathogens, such as viruses and bacteria. One aspect of the immune system is humoral immunity, which is mediated by macromolecules like antibodies and complement proteins found in extracellular fluids like blood and lymph. These molecules play a crucial role in identifying and neutralizing foreign antigens that could potentially attack the body. Humoral immunity involves the activation of Th2 cells, germinal center formation, and the generation of memory cells, all of which work together to produce antibodies that inhibit contact between the antigen and the body's cells. Through the effector functions of antibodies, such as pathogen neutralization and complement activation, pathogens are eliminated and the body is protected from harm.",
81,Immune Tolerance,Deafness,Immunity,-1,"['Immunity', 'Healing', 'accepting a belief', 'Drug Treatment', 'Skin System', 'Disease', 'Diseases', 'Human Body', 'Molecular Symmetry', 'Blindness', 'The Nervous System', 'Evolution', 'Sun Protection', 'Neural Networks', 'natural selection', 'Taylor Expansion', 'illness', 'Biological Evolution', 'memory', 'The Brain']","[0.6879260121163242, 0.37837343597670003, 0.31575898284593173, 0.3096676079764612, 0.3053183488655203, 0.28987139572975673, 0.2887092223494938, 0.28264300541902315, 0.2758103357566129, 0.2749197829245884, 0.27371760465612677, 0.27254532605762954, 0.26715409509783683, 0.263979014349336, 0.26006372989777, 0.2569759722453919, 0.2495911403210208, 0.24211729789488012, 0.2388687098262134, 0.23716433430682365]",name_only,Immune Tolerance,"Immune tolerance refers to the state of the immune system where it does not respond to certain substances or tissues that would usually trigger an immune response. This is achieved through either central tolerance, which occurs in the thymus and bone marrow, or peripheral tolerance, which takes place in other tissues and lymph nodes. Immune tolerance plays a crucial role in preventing over-reactivity of the immune system to various environmental entities and is instrumental in preventing autoimmune diseases. However, it also allows for some pathogenic microbes to successfully infect a host and avoid elimination, while certain tumors may also evade the immune system by inducing peripheral tolerance.",
82,Immune Tolerance,Blindness,Immunity,10,"['Immunity', 'Healing', 'accepting a belief', 'Drug Treatment', 'Skin System', 'Disease', 'Diseases', 'Human Body', 'Molecular Symmetry', 'Blindness', 'The Nervous System', 'Evolution', 'Sun Protection', 'Neural Networks', 'natural selection', 'Taylor Expansion', 'illness', 'Biological Evolution', 'memory', 'The Brain']","[0.6879260121163242, 0.37837343597670003, 0.31575898284593173, 0.3096676079764612, 0.3053183488655203, 0.28987139572975673, 0.2887092223494938, 0.28264300541902315, 0.2758103357566129, 0.2749197829245884, 0.27371760465612677, 0.27254532605762954, 0.26715409509783683, 0.263979014349336, 0.26006372989777, 0.2569759722453919, 0.2495911403210208, 0.24211729789488012, 0.2388687098262134, 0.23716433430682365]",name_only,Immune Tolerance,"Immune tolerance is a state in which the immune system of an organism does not respond to specific antigens which would normally elicit an immune response. It is divided into central tolerance, induced in the thymus and bone marrow, and peripheral tolerance, induced in other tissues and lymph nodes. Immune tolerance plays a crucial role in distinguishing self from non-self and preventing over-reactivity of the immune system to various environmental entities. However, deficits in central or peripheral tolerance can lead to autoimmune diseases, while some pathogenic microbes can successfully infect a host by avoiding elimination through tolerance mechanisms.",
