id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties,baseline
97,Chemistry,Crowd,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Urban Transportation']","[0.6345064348561025, 0.38355499559056916, 0.3316314255517451]",name_properties,"Chemistry. Reactive surface area, reaction speed, reaction process","Chemistry is a fascinating field that involves the study of matter and its properties. It delves into the elements that make up matter, the compounds created from them, and the changes that occur during a reaction with other substances. Chemistry looks closely at the composition, structure, properties, and behavior of matter. It examines the nature of chemical bonds and how they interact with each other. In studying these aspects, chemistry occupies an intermediate position between physics and biology. Known as the central science, it provides the foundation for a fundamental understanding of both basic and applied scientific disciplines. Understanding chemistry is essential to explaining plant growth, the formation of rocks, atmospheric ozone creation, environmental pollutant degradation, soil properties, how medications work, and DNA collection for criminal investigation. Chemistry is driven by various factors, including a material's reactive surface area and the speed and process of chemical reactions.","Reactive surface area, reaction speed, reaction process",embedding_top3
98,Chemistry,Construction Work,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Recipes']","[0.6282405619554847, 0.3872000221008417, 0.34862012062541226]",name_properties,"Chemistry. enzyme, Conditions for the enzyme to work, Reactant, product","Chemistry is a fundamental branch of science that explores the properties and behavior of matter at both macroscopic and microscopic levels. It deals with the composition, structure, properties, and reactivity of substances, from individual atoms and molecules to complex compounds. Chemistry is often referred to as the central science, as it provides a foundation for understanding other fields such as physics, biology, and geology. Enzymes are one vital aspect of chemistry, which are biological catalysts that speed up chemical reactions. However, enzymes require specific conditions to work effectively, such as optimal temperature, pH, and substrate concentration. In any chemical reaction, a reactant is transformed into a product, which may have different physical and chemical properties from the original substance. Hence, chemistry is a fascinating field that explains the natural phenomena we observe in our daily lives, from the growth of plants to the development of medicines and the analysis of forensic evidence.","enzyme, Conditions for the enzyme to work, Reactant, product",embedding_top3
99,Chemical Reaction,Friction,"['Friction', 'Urban Transportation', 'Computer', 'Vehicle Traffic']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'heat']","[0.6490879068414759, 0.5046808753292069, 0.45126136660989646]",name_properties,"Chemical Reaction. chemical reaction heat, Reactant, atomic interaction","A chemical reaction is a process that involves the transformation of one set of chemical substances into another. This change occurs through the breaking and forming of chemical bonds between atoms, often resulting in different properties of the products compared to the reactants. Chemical reactions can be described by a chemical equation, and usually occur at a certain rate depending on temperature and chemical concentration. Reactants, or the substances initially involved, undergo a series of individual sub-steps until they reach completion or equilibrium in either the forward or reverse direction. Chemical reactions may be classified as redox or nonredox depending on whether oxidation and reduction occur, and different reactions are used in chemical synthesis to obtain desired products. In biochemistry, these reactions form metabolic pathways that are catalyzed by proteins enzymes. Chemical reactions are also extended to include reactions between entities smaller than atoms such as nuclear reactions, radioactive decays, and elementary particle interactions.","chemical reaction heat, Reactant, atomic interaction",embedding_top3
100,Periodic Table,Alphabet,['Alphabet'],atom,3,1,['Alphabet'],[3],"['atom', 'Reactor', 'Alphabet']","[0.4961961483946665, 0.3944339570599681, 0.33365603845838915]",name_properties,"Periodic Table. element, order, atomic nucleus","The periodic table is a key tool in chemistry, physics, and other sciences, providing a systematic arrangement of the chemical elements according to their atomic numbers and chemical properties. This iconic table is divided into rows called periods and columns called groups, which exhibit similar chemical characteristics. The elements on the periodic table are electrically neutral atoms with an equal number of protons and electrons, and isotopes are listed together. Dmitri Mendeleev formulated the first periodic table in 1869, based on the periodic law that chemical properties depend on atomic mass. Since then, scientists have discovered all 118 elements and the table has continued to evolve with scientific progress. However, there is still discussion on whether some elements are correctly positioned in the table and alternative representations exist. Despite these debates, the periodic table remains an indispensable tool in modern chemistry, providing a foundation for understanding the fundamental building blocks of matter.","element, order, atomic nucleus",embedding_top3
101,Chemical Analysis,Translation,['Translation'],Chemical Reactions,3,1,['Translation'],[3],"['Chemical Reactions', 'Mathematical Calculations', 'Translation']","[0.5201019408811891, 0.44019645339100344, 0.41877732251582384]",name_properties,"Chemical Analysis. analysis object, Analytical method, Analysis process, analysis results","Chemical analysis is a field of analytical chemistry that involves using various instruments and methods to separate, identify, and quantify matter. The process of analysis may involve separation, identification or quantification either alone or in combination. An analysis object can be identified through qualitative analysis which provides information about differences in color, odor, melting point etc. On the other hand, quantitative analysis determines the numerical amount or concentration. There are classical qualitative and quantitative methods that utilize precipitation, extraction, and distillation, while modern instrumental methods use techniques such as chromatography, electrophoresis or field flow fractionation. The analysis process involves the use of various instruments that can separate, identify and quantify analytes using light, heat, electric and magnetic fields. With the same instrument, an analyte can be isolated, identified and quantified in one step. With a focus on experimental design, chemometrics, and creating new measurement tools, chemical analysis has applications in medicine, science, and engineering. Overall, chemical analysis plays an important role in understanding the composition and behavior of materials, and the development of new products and technologies.","analysis object, Analytical method, Analysis process, analysis results",embedding_top3
102,Chemistry,Dance,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Supply Chain']","[0.6043494837142349, 0.4408596080360047, 0.3576449728069707]",name_properties,"Chemistry. reaction speed, Reactant, product","Chemistry is a pivotal scientific discipline that studies the properties and behavior of all the substances that make up the world around us. It deals with various components of matter such as atoms, molecules, and ions, their composition, structure, and properties. Reaction speed is one of the fundamental aspects of chemistry that dictates the rate at which a reactant is transformed into a product. In chemistry, a reactant is the starting substance in a chemical reaction which undergoes changes to become the product, which is the outcome of a chemical reaction. From exploring the basics of chemical bonding to studying chemical reactions, chemistry provides a foundation for understanding both basic and applied scientific disciplines at a fundamental level.","reaction speed, Reactant, product",embedding_top3
103,chemical element,human,['human'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'atom']","[0.5324237951353131, 0.35566422359656275, 0.3438774852591354]",name_properties,"chemical element. Element properties, chemical reaction, The role of different substances","A chemical element is a fundamental building block of matter that cannot be broken down into simpler substances. Each element is characterized by the number of protons in its nucleus, which determines its unique properties. When elements participate in chemical reactions, they can be combined or rearranged to form different compounds. While some elements, such as silver and gold, occur naturally in a pure form, most are found in complex compounds and mixtures. The discovery and classification of elements has a long history, and modern scientists continue to explore and discover new ones. The periodic table is a valuable tool used by chemists to understand the properties and relationships between elements.","Element properties, chemical reaction, The role of different substances",embedding_top3
104,Chemical reaction,object slides,['object slides'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Factory']","[0.6088901956849195, 0.42183128197701464, 0.3491418591155452]",name_properties,"Chemical reaction. spontaneous direction, Reactant, product, reaction speed, activation energy","A chemical reaction is a process that changes one set of substances, known as reactants or reagents, into another set of substances, known as products. These reactions usually involve the breaking and forming of chemical bonds between atoms, but can also include nuclear changes in the case of unstable and radioactive elements. Chemical reactions occur at a characteristic rate, which can be increased by increasing temperature or chemical concentration. Reactions can proceed in the forward or reverse direction and may reach equilibrium, with the direction of the reaction depending on factors such as spontaneity and energy input. Chemical reactions can be described using chemical equations and classified as redox or nonredox reactions. Enzymes can increase the rates of biochemical reactions, while the concept of a chemical reaction can be extended to nuclear reactions, radioactive decays, and reactions between elementary particles.","spontaneous direction, Reactant, product, reaction speed, activation energy",embedding_top3
105,Chemical Reaction,Urban Transportation,"['Friction', 'Urban Transportation', 'Computer', 'Vehicle Traffic']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Cooking']","[0.6839001651288337, 0.3822189737989544, 0.3161668414471275]",name_properties,"Chemical Reaction. active site, reaction speed, reaction process","A chemical reaction is a fundamental process that leads to the transformation of one or more chemicals into another set of chemicals. The reaction process involves the breaking and forming of chemical bonds between atoms, resulting in the creation of new molecules or compounds. The reaction speed is determined by various factors, such as temperature, concentration, and the presence of a catalyst or active site. Chemical reactions can be classified as redox or nonredox, with the former involving oxidation and reduction of molecules. The reaction mechanism comprises a sequence of individual sub-steps or elementary reactions. Enzymes play a crucial role in metabolic pathways by catalyzing the reactions that enable syntheses and decompositions to occur within a cell. The general concept of a chemical reaction has been extended to include reactions between atomic particles, nuclear reactions, and radioactive decays, as described by quantum field theory.","active site, reaction speed, reaction process",embedding_top3
106,Chemistry,The Movie,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Factory']","[0.5880968635495388, 0.5528519630341572, 0.450028103912148]",name_properties,"Chemistry. Reactant, intermediate, product","Chemistry is a fascinating field of science that deals with the properties and behavior of matter. It involves the study of various elements, compounds, molecules, and ions, and their structure, composition, properties, and changes during a reaction with other substances. Reactants, intermediates, and products form the basis of chemistry by allowing us to understand the mechanism of chemical reactions. Not only does chemistry play a significant role in advancing our knowledge of the natural world, but it also has practical applications in many other disciplines. This is why chemistry is often called the central science, as it forms the foundation for understanding basic and applied scientific fields like botany, geology, ecology, cosmology, pharmacology, and forensics. Chemistry offers a unique perspective on the physical and chemical changes that occur in the natural world and helps to solve real-world problems in a wide range of scientific and industrial contexts.","Reactant, intermediate, product",embedding_top3
107,Chemistry,Cooking,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'gas molecules', 'heat']","[0.6103666048871234, 0.46252334126715655, 0.4411491416595271]",name_properties,"Chemistry. temperature, pressure, reactant concentration, Reactant, product","Chemistry is a fundamental branch of science that focuses on the study of matter, its composition, properties, and behavior. It explores the nature of chemical substances and their reactions with other substances, including changes that occur during a reaction. Chemistry takes an intermediate place between physics and biology, providing a foundation for understanding various scientific disciplines from a fundamental level. It discusses topics such as temperature, pressure, reactant concentration, reactants, and products. The field of chemistry has numerous applications, ranging from explaining the process of plant growth, formation of rocks, the chemistry of the atmosphere, and the action of drugs to collecting DNA evidence in forensics. As a scientist in this field, one often explores the relationships between temperature, pressure, reactant concentration, reactants, and products to gain a deeper understanding of the behavior of matter.","temperature, pressure, reactant concentration, Reactant, product",embedding_top3
108,Chemical Substances,Human Emotions,['Human Emotions'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'sponge', 'gas molecules']","[0.45035526042482776, 0.2969892735676703, 0.28954762346427787]",name_properties,"Chemical Substances. acidic substance, alkaline substance, pH value","Chemical substances are the building blocks of everything around us, from the air we breathe to the food we eat. They are defined as matter with constant chemical composition and unique properties. Chemical substances come in different forms - simple substances, chemical compounds or even alloys. Often referred to as 'pure', chemical substances are different from mixtures since they possess the same physical and chemical properties regardless of their origin.
Some of the well-known examples of chemical substances include water, diamond, gold, table salt, and sucrose. Although no substance is completely pure, the intended use of a chemical determines its purity. Chemical reactions can be used to combine or change the form of chemical substances. Moreover, they exist in different states like solids, liquids, gases or plasma, and can transform between these phases depending on variations in temperature, pressure, and time.
When it comes to chemical substances, their acidic or alkaline properties are critical in determining their behavior in different environments. Measured on the pH scale, an acidic substance has values below 7, while an alkaline substance has values above 7. Understanding the pH value of chemical substances is essential in various fields like agriculture, medicine, and industrial manufacturing, among others.","acidic substance, alkaline substance, pH value",embedding_top3
109,Chemistry,Football Game,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'gas molecules']","[0.7477390370607979, 0.48541601764500686, 0.3507460661158219]",name_properties,"Chemistry. Reactant, Reaction conditions, Reactant properties","Chemistry is a physical science that explores the properties and behavior of different forms of matter, from the elements that make up substances to the compounds made of atoms, molecules, and ions. Among the topics, it covers are the composition, structure, properties, behavior, and changes of matter when it reacts with other substances. The science of chemistry also investigates the nature of chemical bonds in chemical compounds, making it an essential science that occupies an intermediate position between physics and biology. As a central science, the study of chemistry provides a foundation for understanding different scientific disciplines at a fundamental level, from basic to applied fields. Knowledge of chemistry helps to explain aspects of plant growth, environmental changes, medications, and forensics. To understand chemical reactions, chemists consider factors such as reactants' properties, reaction conditions, and other variables that influence how reactants interact with each other.","Reactant, Reaction conditions, Reactant properties",embedding_top3
110,Chemical Reaction,Computer,"['Friction', 'Urban Transportation', 'Computer', 'Vehicle Traffic']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Factory']","[0.7331348737576173, 0.5323835241862667, 0.42701786912209166]",name_properties,"Chemical Reaction. Reactant, product, reaction process","A chemical reaction is a fundamental process of transforming one set of chemical substances, known as reactants or reagents, into another set, identified as products. This process involves a change in the positions of electrons in the forming and breaking of chemical bonds between atoms. Generally characterized by a chemical change, chemical reactions follow a specific reaction process consisting of a sequence of individual sub-steps which are presented symbolically in chemical equations. The rate of these reactions is directly proportional to temperature and chemical concentration, and reactions may proceed in the forward or reverse direction until they go to completion or reach equilibrium. Various chemical reactions are used to obtain desired products through chemical synthesis, and the steps involved in such reactions are often catalyzed by enzymes. Ultimately, the scope of chemical reactions has been extended to include reactions between entities smaller than atoms, such as nuclear reactions and reactions between elementary particles.","Reactant, product, reaction process",embedding_top3
111,Chemical Reactions,Mathematical Calculations,['Mathematical Calculations'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Factory']","[0.6989960555684078, 0.45980681312421917, 0.4229930073823056]",name_properties,"Chemical Reactions. stoichiometry, Reaction equation, Reactant, reaction process, product","Chemical reactions are fundamental processes that result in the transformation of one set of chemical substances to another. The reaction process typically involves changes in the positions of electrons in the forming and breaking of chemical bonds between atoms. The substances involved in a chemical reaction are called reactants or reagents, while the resulting substances are called products. Chemical equations are used to describe the reaction process, presenting the starting materials, end products, and sometimes intermediate reaction products and conditions. The stoichiometry or balance of the reaction equation provides information about the relative amounts of reactants and products involved in the reaction. The characteristics of a chemical reaction are affected by factors such as temperature, concentration, and the presence of catalysts. Chemical reactions may proceed in either the forward or reverse direction until they reach completion or equilibrium. In biological systems, chemical reactions occur within metabolic pathways, which are frequently catalyzed by protein enzymes.","stoichiometry, Reaction equation, Reactant, reaction process, product",embedding_top3
112,Chemistry,Buy and Sell,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Supply Chain']","[0.6165870788455473, 0.4660591466699362, 0.3579400716080995]",name_properties,"Chemistry. Reactant, product, reaction speed, Response ratio","Chemistry is the scientific study of matter and the changes it can undergo. It is a physical science that focuses on the properties, behavior, and composition of various elements, compounds, molecules, and ions. In particular, chemistry is concerned with how these substances react with one another and the changes that take place during a reaction, such as the creation of reactants and products. Chemistry is also interested in the speed at which these reactions occur, called the reaction speed, and the ratio of the response to the stimulus, termed the response ratio. Chemistry occupies a central position in the field of natural sciences, providing a foundation for understanding various scientific disciplines, including botany, geology, ecology, cosmochemistry, pharmacology, and forensics.","Reactant, product, reaction speed, Response ratio",embedding_top3
113,Chemical Reaction,Vehicle Traffic,"['Friction', 'Urban Transportation', 'Computer', 'Vehicle Traffic']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Burning Energy']","[0.6378133237933782, 0.5096906181574449, 0.3815687005487459]",name_properties,"Chemical Reaction. Reactant, activation energy, catalyst, product","A chemical reaction involves the transformation of reactants or reagents into one or more products, characterized by a chemical change. This process may be spontaneous or require an external energy input, with the reaction rate increasing at higher temperatures. The reaction mechanism is made up of individual sub-steps, and the sequence of action determines the end products. A catalyst may be used to increase the rate of a reaction by lowering the activation energy required to break bonds between atoms. In biochemistry, metabolic pathways involve a series of chemical reactions, often catalyzed by protein enzymes.","Reactant, activation energy, catalyst, product",embedding_top3
114,Chemistry,A Jigsaw Puzzle,"['Cooking', 'Music', 'Leaping Over Barriers', 'Crowd', 'Construction Work', 'Dance', 'The Movie', 'Football Game', 'Buy and Sell', 'A Jigsaw Puzzle']",Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Reactor', 'Factory']","[0.7710760704714079, 0.5174512336906038, 0.43066062854793885]",name_properties,"Chemistry. Reactant, reaction process, Reaction conditions, product","Chemistry is a branch of science that studies the properties and behavior of matter. It is concerned with understanding the composition, structure, properties, and behavior of substances, from the elements that make up matter to the compounds made of atoms, molecules, and ions. Chemistry also delves into the nature of chemical bonds that bring these substances together. One of the major areas of focus in chemistry is the reaction process, which examines how reactants are transformed under different reaction conditions to form products. By studying the reaction process, chemists can manipulate substances to create new products or improve existing ones. Understanding chemistry provides a foundation for a wide range of scientific disciplines, from botany and geology to pharmacology and forensics.","Reactant, reaction process, Reaction conditions, product",embedding_top3
115,Chiral Molecules,Human Hands,['Human Hands'],Molecular Symmetry,3,1,['Human Hands'],[3],"['Molecular Symmetry', 'Mirrors', 'Human Hands']","[0.5841794110331968, 0.4841548086183092, 0.4220377222252084]",name_properties,"Chiral Molecules. molecular, mirror symmetry, nature","Chiral molecules are a fascinating topic in both chemistry and biochemistry. These are molecules or ions that cannot be superposed on their mirror image by any combination of rotations, translations, and some conformational changes, in other words, they lack mirror symmetry. This property of chirality originates from a stereogenic element, such as a stereogenic center, axis, plane, or even inherent curvature. Chiral molecules exist in two mirror image forms called enantiomers, often distinguished as ""right-handed"" or ""left-handed"". They have the same chemical and physical properties, except when reacting with other chiral compounds, and often have opposite optical activities. Of particular interest to biochemistry, most substances relevant to biology, such as carbohydrates, amino acids, and nucleic acids, are chiral. Only one of the two enantiomers is typically found in living organisms, which can metabolize only one of its enantiomers. The study of chirality and its effects on molecules is important to understand the behavior of natural compounds and how they interact with biological systems.","molecular, mirror symmetry, nature",embedding_top3
116,Amphiphile,neutral country,['neutral country'],The Helix Bridge,-1,0,[],[],"['The Helix Bridge', 'sponge', 'Molecular Symmetry']","[0.3380144542309029, 0.2828718644593061, 0.27553997779746986]",name_properties,"Amphiphile. Hydrophilic, Lipophilic","An amphiphile is a chemical compound that possesses both hydrophilic and lipophilic properties, meaning it has a love for both water and fat. These compounds have become the basis for various research areas in the fields of chemistry and biochemistry. For example, phospholipid amphiphiles, which are major structural components within cell membranes, are of particular interest. Additionally, common amphiphilic compounds such as surfactants can be found in everyday household products such as soaps, detergents, and lipoproteins. Organic compounds that contain hydrophilic groups at both ends of the molecule, known as bolaamphiphilic, can form prolate micelles when aggregated.","Hydrophilic, Lipophilic",embedding_top3
117,Enantiomers,Human Hands,['Human Hands'],Molecular Symmetry,3,1,['Human Hands'],[3],"['Molecular Symmetry', 'Mirrors', 'Human Hands']","[0.4944093019140259, 0.42204220801343845, 0.35203474606312457]",name_properties,"Enantiomers. mirror symmetry, chiral center","Enantiomers are a fascinating concept in chemistry that refers to two stereoisomers that cannot be superimposed onto their own mirror image. This means that they have mirror symmetry, just like a person's right and left hands, and cannot be aligned perfectly with each other. The presence of a chiral center in a molecule determines whether or not it has enantiomers. Interestingly, a mixture of equal amounts of each enantiomer known as a racemic mixture or racemate does not have the ability to rotate plane-polarized light. While diastereomers are non-superposable onto each other like enantiomers, they are not mirror images of each other. The study of enantiomers plays a significant role in understanding the properties and functions of molecules in both chemistry and biology.","mirror symmetry, chiral center",embedding_top3
118,Functional Group,Occupation,['Occupation'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Molecular Symmetry', 'Group Behavior']","[0.48186739256462735, 0.4476916437771025, 0.39904378701958887]",name_properties,"Functional Group. molecular, substituent, chemical properties","In organic chemistry, a functional group is a set of atoms within a molecule that determine the molecule's characteristic chemical properties and reactivity, regardless of the rest of the molecule's composition. These distinct groups, also known as substituents, can be used to predict and modify the behavior of organic compounds, as well as serve as a basis for designing chemical synthesis. The functional group concept is also applicable to polymers, ligands in coordination complexes, and solvation interactions. The naming convention for organic compounds involves combining the functional group names with parent alkanes, using Greek letters or numerical labeling to indicate the position of functional groups and isomers. While the term ""moiety"" can also refer to a functional group, it encompasses larger units consisting of multiple functional groups.","molecular, substituent, chemical properties",embedding_top3
119,Polymer Synthesis,Cooking,['Cooking'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'the replicator', 'The Writing System']","[0.3982261079795575, 0.32543572000640086, 0.30675325119985514]",name_properties,"Polymer Synthesis. monomer, Polymerization, Polymer","Polymer synthesis is a chemical process that involves the reaction of monomer molecules to form large and complex polymer chains. The process, also known as polymerization, can occur in different ways depending on the functional groups present in the reactants. Alkenes, for instance, can polymerize through simple radical reactions to form homopolymers such as polyethylene and polyvinyl chloride (PVC), which are widely used in commercial products due to their usefulness in manufacturing processes. Other monomer units such as formaldehyde hydrates can also polymerize to form oligomers that can further react to form more complex polymeric compounds. However, polymerization that is not properly controlled and moderated can be hazardous and lead to autoacceleration, which can cause fires and explosions.","monomer, Polymerization, Polymer",embedding_top3
120,Polymer Structure,Buildings,['Buildings'],Buildings,1,1,['Buildings'],[1],"['Buildings', 'Building Structure', 'Chemical Reactions']","[0.39121105409257334, 0.3896074691854967, 0.3855331758875665]",name_properties,"Polymer Structure. polymer chain, monomer, molecular crosslinking","Polymers are substances or materials consisting of very large molecules known as macromolecules, made up of repeating subunits called monomers. These monomers are linked together through polymerization, resulting in a long polymer chain with a unique set of physical properties. The term ""polymer"" comes from the Greek words meaning ""many parts,"" and these materials can range from natural biopolymers like DNA and proteins to synthetic plastics like polystyrene. The molecular crosslinking within polymers gives rise to their distinctive qualities, such as high elasticity, toughness, and the ability to form amorphous or semi-crystalline structures. While polymers were first studied in the context of covalent chemical bonds, recent research has also focused on the formation of supramolecular polymers through non-covalent connections. As a foundation of polymer science, these versatile materials have applications across many fields, from biophysics to materials science and engineering.","polymer chain, monomer, molecular crosslinking",embedding_top3
121,High Molecular Polymers,Families,['Families'],Chemical Reactions,-1,0,[],[],"['Chemical Reactions', 'Manual', 'Molecular Symmetry']","[0.3567243658790167, 0.32705912136072524, 0.3125517091392802]",name_properties,"High Molecular Polymers. monomer, segment, Copolymer","High molecular polymers are complex molecules that undergo a process called crystallization, which leads to the partial alignment of their molecular chains. This process results in the formation of organized regions called lamellae, which make up larger structures known as spherulites. Polymers can crystallize due to various factors such as cooling from melting, mechanical stretching, or solvent evaporation. Crystallization significantly impacts the mechanical, thermal, chemical, and optical properties of the polymer. The degree of crystallinity is an important factor, estimated through different analytical methods and typically ranging between 10 and 80%. Polymer structures that experience crystallization are usually referred to as semi-crystalline, and their properties are influenced by the size and orientation of the molecular chains. High molecular polymers can be synthesized from monomers or copolymers that contain various segments, making them versatile materials with different physical and chemical properties.","monomer, segment, Copolymer",embedding_top3
122,Polymer Composites,Gourmet,['Gourmet'],Manual,-1,0,[],[],"['Manual', 'Chemical Reactions', 'Buildings']","[0.37412956742695774, 0.3699614545095927, 0.3688744043707307]",name_properties,"Polymer Composites. basic material, enhancer, Preparation Process","Polymer composites are a basic material in the field of materials science. These composites are composed of a variety of short or continuous fibers and are bound together by a matrix of organic polymers. They are designed to efficiently transfer loads between the fibers of a matrix. With their unique composition, they offer several advantages such as light weight, high resistance to abrasion and corrosion, as well as high stiffness and strength. These properties make polymer composites a popular enhancer for a wide variety of applications across many industries. The preparation process for these composites is critical, requiring precise measures to be taken in order to achieve the desired final product. Overall, polymer composites are a versatile and valuable material used to create high-performance products across a number of applications.","basic material, enhancer, Preparation Process",embedding_top3
123,Polymer Surface Modification,Makeup,['Makeup'],Molecular Symmetry,3,1,['Makeup'],[3],"['Molecular Symmetry', 'Chemical Reactions', 'Makeup']","[0.35298426167567765, 0.33094622637162263, 0.3240864647427636]",name_properties,"Polymer Surface Modification. surface group, Modifier, Modification function","Polymer surface modification refers to the process of altering the surface of a polymer material by introducing physical, chemical, or biological properties that differ from the original surface. This is usually done through the use of surface groups and modifiers that can change the surface energy, hydrophilicity, reactivity, roughness, and other characteristics of the polymer. The modification function can be performed through various methods depending on the desired outcome, making it a versatile process for customizing polymer materials for specific applications. With these modifications, polymers can be made more biocompatible or reactive, improving their potential use in a range of industries. Overall, polymer surface modification is an important technique that allows for the creation of tailored surface properties that can enhance the performance and functionality of polymer materials.","surface group, Modifier, Modification function",embedding_top3
124,The Swarm,A Distributed Computing System,['A Distributed Computing System'],Information Flow,2,1,['A Distributed Computing System'],[2],"['Information Flow', 'A Distributed Computing System', 'Crowd']","[0.4177372965904284, 0.36198026903246383, 0.36113071659936313]",name_properties,"The Swarm. bee, honeycomb, Information transfer","The Swarm is a fascinating phenomenon that can refer to various forms of group behavior in the natural world. In particular, one of the most well-known examples of the Swarm is the behavior of bees, which is often characterized by their ability to work together in unison to achieve a common goal. This behavior is often seen in the formation of honeycombs, which are intricate structures made of hexagonal cells that serve as a home for bees and their young. 

One of the most remarkable aspects of the Swarm is the way in which it facilitates the efficient transfer of information between individuals within the group. Bees, for example, are able to communicate their movements and intentions to one another using a variety of signals, such as pheromones and dances. This allows the Swarm to adjust and adapt its behavior in response to changes in the environment or to new information. 

The Swarm is not limited to the behavior of bees, however. It can also be seen in other examples of group behavior in the natural world, such as the migrations of birds and the movements of schools of fish. In each case, the Swarm represents a powerful example of the collective power of individuals working together towards a common goal. 

Overall, the Swarm is a fascinating phenomenon that has captured the imaginations of scientists and enthusiasts alike for years. Whether studying the behavior of bees or the movements of larger groups, the Swarm remains one of the most impressive examples of coordinated behavior in the natural world.","bee, honeycomb, Information transfer",embedding_top3
125,The Brain,The Neural Network of Computers,['The Neural Network of Computers'],The Brain,-1,0,[],[],"['The Brain', 'The Nervous System', 'Neural Networks']","[0.7715357555466356, 0.66967629675335, 0.625143735933104]",name_properties,"The Brain. Neurons, neurotransmission, cerebral cortex","The brain is a highly complex organ that serves as the center of the nervous system in both invertebrate and vertebrate animals. It is responsible for generating patterns of muscle activity, driving the secretion of hormones, and enabling rapid and coordinated responses to changes in the environment. The cerebral cortex, which contains billions of neurons, is responsible for vital functions such as consciousness, perception, and cognition. The neurons in the brain are connected by synapses, allowing for neurotransmission of action potentials. Although the operations of individual brain cells are understood in detail, the way they cooperate in ensembles of millions remains a mystery. The human brain shares many properties with other brains, but several distinguishing features are covered in the human brain article, including brain disease and the effects of brain damage.","Neurons, neurotransmission, cerebral cortex",embedding_top3
126,Deep Learning,How the Human Brain Works,"['How the Human Brain Works', 'The Brain']",The Neural Network of Computers,3,1,['The Brain'],[3],"['The Neural Network of Computers', 'Neural Networks', 'The Brain']","[0.6141095576051021, 0.5880417361797723, 0.5876532582546645]",name_properties,"Deep Learning. Neurons, Neural Networks, processing power","Deep learning is a powerful machine learning method that is based on artificial neural networks. It uses advanced algorithms to learn from data, allowing computers to make predictions, recognize patterns and perform complex tasks. The use of deep neural networks, recurrent neural networks, convolutional neural networks, and transformers has revolutionized fields such as computer vision, speech recognition, natural language processing, and machine translation. Deep learning technology has also been applied to many other fields, including drug design, medical imaging, climate science, and material inspection. With its superior processing power, deep learning has produced results comparable to and in some cases exceeding human expert performance. The technology is allowing us to solve problems that were previously impossible, and it is revolutionizing the way we think about computing and artificial intelligence.","Neurons, Neural Networks, processing power",embedding_top3
