id,target,target_background,gold_source,top_10_sources,top_10_scores,llm_selected_sources,llm_selected_scores,gold_rank,embedding_mode,baseline
87,Healthcare,"Healthcare is the umbrella term that encompasses a wide range of health-related services aimed at achieving better physical and mental health outcomes for individuals. It consists of a diverse mix of health professionals and allied health fields such as medicine, dentistry, pharmacy, midwifery, nursing, optometry, audiology, psychology, occupational therapy, physical therapy, and athletic training, among others. The primary goal of healthcare is to prevent, diagnose, treat, ameliorate or cure diseases, injuries, mental impairments, and other health-related conditions. An efficient healthcare system is not only significant in promoting general physical and mental health but also in contributing to a country's economy, development, and industrialization. Access to healthcare may vary depending on social and economic conditions, and it is imperative that healthcare services are available to everyone irrespective of financial limitations, geographical and logistical barriers, and personal limitations. The provision of drugs and medication by a qualified doctor is an integral part of healthcare, and diseases can be effectively managed with proper access to healthcare services.",Building Repair,"['Disease', 'illness', 'Diseases', 'Healing', 'Occupation', 'Human Body', 'education', 'Rental Housing', 'Financial Markets', 'Urban Transportation']","[0.4001778745422397, 0.34850038153111806, 0.34602234677699756, 0.3267886527619766, 0.31099408530351075, 0.29894500818435465, 0.27473518331531877, 0.2712967486301763, 0.26864565828401776, 0.26807137981886314]","['illness', 'Human Body', 'education']","[0.34850038153111806, 0.29894500818435465, 0.27473518331531877]",-1,name_properties,embedding_llm_top10_to_3
88,Air Pollution,"Air pollution is a global crisis that is harming both human health and the environment. It can be caused by both human activities and natural phenomena, with different types of pollutants such as gases, particulates and biological molecules. The effects of air pollution are far-reaching, causing diseases, allergies and even death to humans, animals and crops. Furthermore, it can damage the natural and built environment, such as causing climate change or habitat degradation. The main sources of air pollution are governance and pollution sources. Although several international and national legislation and regulations have been developed to limit the negative effects of air pollution, it is still considered largely haphazard or neglected. The problem of air pollution affects 90% of the world's population to some degree, causing $5 trillion in productivity losses and degraded quality of life each year. It is a significant risk factor for a number of pollution-related diseases and is the world's largest single environmental health risk, causing the deaths of around 7 million people worldwide each year. Nevertheless, several pollution control technologies and strategies are available to reduce air pollution, and local rules, when properly executed, have resulted in significant advances in public health.",Disease,"['air filter', 'Air handling system', 'Dust Storm', 'air circulation ducts', 'Car', 'Urban Entropy Increase', 'Burning Energy', 'Urban Transportation', 'city', 'Urban']","[0.49681565770215724, 0.36403855519496325, 0.34101461521289456, 0.3394022335412957, 0.3332468108158877, 0.30386501333318217, 0.3038521239067722, 0.29416797104178943, 0.27016985881640004, 0.26697269476035124]","['Car', 'Burning Energy', 'Urban']","[0.3332468108158877, 0.3038521239067722, 0.26697269476035124]",-1,name_properties,embedding_llm_top10_to_3
89,The Periodic Table,"The periodic table is a fundamental tool in the study of chemistry. It is a tabular arrangement of the chemical elements in order of their increasing atomic numbers. This arrangement groups the elements with similar properties and allows scientists to predict the properties of new and undiscovered elements. Each element is represented by its symbol, atomic number, and atomic weight. The table can be used to examine the behavior of elements in chemical reactions and to predict the products of those reactions. The periodic table has many applications beyond chemistry, including in physics, biology, and materials science. Although it is a simple concept, the periodic table is one of the most important tools in modern science. This importance is reflected in the many variations of the periodic table, such as those that focus on crystal structure or electron configurations. Whether you are a student of science, a researcher, or simply interested in learning more about the elements that make up our world, the periodic table is an indispensable resource.",A Tuning System for Music,"['Biological Evolution', 'atom', 'Molecular Symmetry', 'Human Body', 'A Pinball Game', 'Prospecting', 'Reactor', 'laboratory', 'Computer Processor', 'Chemical Reactions']","[0.3113752423443756, 0.3006713379377842, 0.26955626349615747, 0.26218582051204964, 0.25399263608870076, 0.25277222869643046, 0.2503951648657329, 0.24588237564850524, 0.24371396111630755, 0.24342942440309195]","['Biological Evolution', 'atom', 'Molecular Symmetry']","[0.3113752423443756, 0.3006713379377842, 0.26955626349615747]",-1,name_properties,embedding_llm_top10_to_3
90,Chemistry,"Chemistry is a branch of natural sciences that deals with matter, its composition, properties, and changes that occur during a reaction with other substances. It is a broad subject area that covers everything from the elements that make up matter to the compounds made of atoms, molecules, and ions. In chemistry, the chemical bonds in chemical compounds are also an essential aspect addressed. Often referred to as the ""central science,"" chemistry provides a foundation for understanding basic and applied scientific disciplines. It occupies an intermediate position between physics and biology, explaining various phenomena in botany, geology, ecology, cosmochemistry, pharmacology, and forensics. Chemicals are the building blocks of everything we know in this world, and a catalyst is a substance that facilitates a chemical reaction. A product is the result of a chemical reaction, often desired for its usefulness in society, such as the creation of new medicines or advanced materials.",Cooking,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298702195745247, 0.34378091443710473, 0.3331061411612236, 0.315860119361011, 0.3150738505803793, 0.2975643020387711, 0.29642761835694464, 0.2950049996389638, 0.2779586982498953, 0.27722869586457377]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.48298702195745247, 0.2975643020387711, 0.2950049996389638]",2,name_properties,embedding_llm_top10_to_3
91,Molecular Synthesis,"Molecular biology is a branch of biological science that is interested in the chemical and physical structures of biological molecules such as proteins, nucleic acids, and lipids. It aims to understand the molecular basis of the biological processes that take place in cells, including how these molecules are synthesized, modified, and interact with one another. The field of molecular biology has grown substantially since the 1950s, when scientists Francis Crick, James Watson, Rosalind Franklin, and colleagues made a double helix model of DNA, thereby revolutionizing the way we think about genetics and biological activity. Molecular biology has many practical applications, including gene therapy, drug development, and disease diagnosis. By studying the fundamental building blocks of biological molecules, including the atoms and chemical bonds that form them, molecular biology is unlocking the secrets of life at the molecular level.",Manual,"['Chemical Reactions', 'Molecular Symmetry', 'bacterial mutation', 'program', 'innovation', 'the replicator', 'code', 'The Production Line of a Car Factory', 'Factory System', 'laboratory']","[0.4319680266799826, 0.3753449584528168, 0.3004406272178605, 0.2849698702167621, 0.2759911652605702, 0.25941189695426725, 0.2560050738159639, 0.24413003268466615, 0.24100858024316613, 0.23895816006241605]","['Chemical Reactions', 'Molecular Symmetry', 'bacterial mutation']","[0.4319680266799826, 0.3753449584528168, 0.3004406272178605]",-1,name_properties,embedding_llm_top10_to_3
92,Chemical Separation,"Chemical Separation is a crucial scientific process that involves isolating or separating two or more substances within a mixed substance. This process is used to obtain the desired level of purity and enrichment in one or more of the source mixture's constituents. Separation techniques exploit differences in physical or chemical properties to accomplish the desired separation, and multiple operations are often combined to achieve the desired end. Industrial uses of separation techniques are essential for the modern economy since elements and compounds exist naturally in an impure state, and separation is required to make them productive. Chemical Separation serves analytical and preparative purposes, and it is performed on both small and large scales in laboratories and Chemical plants.",Disassembly,"['Chemical Reactions', 'sponge', 'Factory', 'Prospecting', 'Air handling system', 'air filter', 'gas molecules', 'Disassembly', 'the cleaners', 'Reactor']","[0.4589366352829115, 0.29284291562909165, 0.2858507306810816, 0.276529076893898, 0.26745429276791877, 0.24211020190107752, 0.22487257219439066, 0.22472344033390493, 0.22135398124200825, 0.21585001897649492]","['sponge', 'Factory', 'Disassembly']","[0.29284291562909165, 0.2858507306810816, 0.22472344033390493]",3,name_properties,embedding_llm_top10_to_3
93,Chemistry,"Chemistry is a fundamental scientific discipline that explores the properties and behavior of matter. The study of chemistry encompasses everything from the individual atoms that make up chemical elements to the complex molecular structures that create chemical compounds. The key concepts of chemistry include the composition, structure, properties, and behavior of matter, as well as the changes it undergoes during chemical reactions. Through an understanding of chemical formulas and reactions, chemists are able to explain a wide range of natural phenomena, such as the formation of igneous rocks or the growth of plants. Moreover, chemistry provides a foundation for numerous applied scientific disciplines, including pharmacology and forensics. By studying chemistry, scientists are able to understand the fundamental building blocks of the natural world and harness this knowledge to develop new technologies that improve our lives.",Music,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298702195745247, 0.34378091443710473, 0.3331061411612236, 0.315860119361011, 0.3150738505803793, 0.2975643020387711, 0.29642761835694464, 0.2950049996389638, 0.2779586982498953, 0.27722869586457377]","['Chemical Reactions', 'atom', 'Cooking']","[0.48298702195745247, 0.3331061411612236, 0.2975643020387711]",-1,name_properties,embedding_llm_top10_to_3
94,Electrochemical Reaction,"Electrochemical reactions involve a unique process where electrical potential difference leads to an identifiable chemical change. The transfer of electrons occurs via an electronically-conducting phase, which can be an external electrical circuit or ions in a solution, between electrodes separated by an electrolyte. This process is distinct from conventional chemical reactions where electrons are transferred directly between atoms, ions, or molecules. The conductivity of the circuit or solution is critical to the overall process, as it facilitates the transfer of electrons between the electrodes, which can lead to reactions such as electrolysis, electric batteries, or fuel cells. This explanation highlights the significance of electron transfer, the role of conductors and the use of electronic circuits in electrochemical reactions.",Power Generation,"['Chemical Reactions', 'Circuits', 'Electronic Signal Transmission', 'Reactor', 'Power Generation', 'electromagnetic emission system', 'Circuit Malfunction', 'atom', 'Computer Processor', 'blind']","[0.5107747514469461, 0.3347793739062969, 0.3164356470041229, 0.3130257403949098, 0.3012837760548739, 0.29926050466848697, 0.2848630810823873, 0.2821261362712584, 0.2758327632621176, 0.2724005219383269]","['Circuits', 'Electronic Signal Transmission', 'atom']","[0.3347793739062969, 0.3164356470041229, 0.2821261362712584]",-1,name_properties,embedding_llm_top10_to_3
95,Crystals,"Crystals are solid materials that exhibit a highly ordered microscopic structure, formed by the arrangement of its atomic constituents in a crystal lattice. This lattice extends in all directions and imparts a specific geometrical shape to macroscopic single crystals. The study of crystals and their formation is known as crystallography, and it involves understanding chemical bonds and atomic arrangements that sustain the crystalline solid. Examples of commonly known crystals include diamonds, snowflakes, and table salt. Inorganic solids are mainly polycrystals, which consist of several microscopic crystals fused together into a single solid. On the contrary, amorphous solids are those that have atoms without a periodic structure. Examples of amorphous solids include glass, wax, and plastic. Although they may be called crystals, lead crystal and crystal glass are types of glass, which is another type of amorphous solid. Despite their scientific importance, crystals are also sometimes used in pseudoscientific practices like crystal therapy, associated with Wiccan beliefs and other religious movements that embrace spellwork.",Architecture,"['The Puzzle', 'Mirrors', 'A Puzzle', ""Rubik's Cube"", 'Plants', 'Prospecting', 'Solving Puzzles', 'Walls', 'Camera', 'Deciphering the Code']","[0.29533886935380316, 0.29368083696707914, 0.2836127889381085, 0.27164764928496743, 0.2703788718052242, 0.26920704076079444, 0.26882687150036927, 0.26605829840532524, 0.2652330505195165, 0.2592701812187901]","['The Puzzle', 'Mirrors', 'A Puzzle']","[0.29533886935380316, 0.29368083696707914, 0.2836127889381085]",-1,name_properties,embedding_llm_top10_to_3
96,Chemistry,"Chemistry is a fascinating field of study that helps us understand the building blocks that make up the world around us - from the elements that compose matter to the compounds made of atoms and molecules. It deals with the composition, structure, properties, and behavior of matter, as well as the changes that occur when substances react with one another. One of the key concepts in chemistry is activation energy which is the minimum amount of energy required for a chemical reaction to occur. Reactants are the substances that undergo a chemical change while products are the substances formed after a reaction. Understanding these concepts can provide insights into the behavior of matter in our physical environment and is useful in many fields, such as botany, geology, ecology, pharmacology, and forensics. Overall, chemistry plays a foundational role in both basic and applied scientific disciplines and has a wide range of fascinating applications that continue to be explored by scientists today.",Leaping Over Barriers,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298702195745247, 0.34378091443710473, 0.3331061411612236, 0.315860119361011, 0.3150738505803793, 0.2975643020387711, 0.29642761835694464, 0.2950049996389638, 0.2779586982498953, 0.27722869586457377]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.48298702195745247, 0.2975643020387711, 0.2950049996389638]",-1,name_properties,embedding_llm_top10_to_3
97,Chemistry,"Chemistry is a fascinating field that involves the study of matter and its properties. It delves into the elements that make up matter, the compounds created from them, and the changes that occur during a reaction with other substances. Chemistry looks closely at the composition, structure, properties, and behavior of matter. It examines the nature of chemical bonds and how they interact with each other. In studying these aspects, chemistry occupies an intermediate position between physics and biology. Known as the central science, it provides the foundation for a fundamental understanding of both basic and applied scientific disciplines. Understanding chemistry is essential to explaining plant growth, the formation of rocks, atmospheric ozone creation, environmental pollutant degradation, soil properties, how medications work, and DNA collection for criminal investigation. Chemistry is driven by various factors, including a material's reactive surface area and the speed and process of chemical reactions.",Crowd,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298702195745247, 0.34378091443710473, 0.3331061411612236, 0.315860119361011, 0.3150738505803793, 0.2975643020387711, 0.29642761835694464, 0.2950049996389638, 0.2779586982498953, 0.27722869586457377]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.48298702195745247, 0.2975643020387711, 0.2950049996389638]",-1,name_properties,embedding_llm_top10_to_3
98,Chemistry,"Chemistry is a fundamental branch of science that explores the properties and behavior of matter at both macroscopic and microscopic levels. It deals with the composition, structure, properties, and reactivity of substances, from individual atoms and molecules to complex compounds. Chemistry is often referred to as the central science, as it provides a foundation for understanding other fields such as physics, biology, and geology. Enzymes are one vital aspect of chemistry, which are biological catalysts that speed up chemical reactions. However, enzymes require specific conditions to work effectively, such as optimal temperature, pH, and substrate concentration. In any chemical reaction, a reactant is transformed into a product, which may have different physical and chemical properties from the original substance. Hence, chemistry is a fascinating field that explains the natural phenomena we observe in our daily lives, from the growth of plants to the development of medicines and the analysis of forensic evidence.",Construction Work,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48305707837527867, 0.34383369904410943, 0.3331693910729131, 0.315892721154193, 0.31509862488080986, 0.2976239295403011, 0.29644743414435537, 0.2950400594492134, 0.2780628770060653, 0.2772778743032638]","['Chemical Reactions', 'Burning Energy', 'atom']","[0.48305707837527867, 0.34383369904410943, 0.3331693910729131]",-1,name_properties,embedding_llm_top10_to_3
99,Chemical Reaction,"A chemical reaction is a process that involves the transformation of one set of chemical substances into another. This change occurs through the breaking and forming of chemical bonds between atoms, often resulting in different properties of the products compared to the reactants. Chemical reactions can be described by a chemical equation, and usually occur at a certain rate depending on temperature and chemical concentration. Reactants, or the substances initially involved, undergo a series of individual sub-steps until they reach completion or equilibrium in either the forward or reverse direction. Chemical reactions may be classified as redox or nonredox depending on whether oxidation and reduction occur, and different reactions are used in chemical synthesis to obtain desired products. In biochemistry, these reactions form metabolic pathways that are catalyzed by proteins enzymes. Chemical reactions are also extended to include reactions between entities smaller than atoms such as nuclear reactions, radioactive decays, and elementary particle interactions.",Friction,"['Chemical Reactions', 'Reactor', 'Burning Energy', 'Makeup', 'Disassembly', 'gas molecules', 'bacterial mutation', 'Evolution', 'Friction', 'Mathematical Calculations']","[0.6725600237598661, 0.36218703865072316, 0.32959418335105706, 0.265778576584912, 0.25837442303862174, 0.2575766292663843, 0.2569729527071053, 0.25352859314687687, 0.2507252437815478, 0.24886435774912344]","['Chemical Reactions', 'Burning Energy', 'Friction']","[0.6725600237598661, 0.32959418335105706, 0.2507252437815478]",3,name_properties,embedding_llm_top10_to_3
100,Periodic Table,"The periodic table is a key tool in chemistry, physics, and other sciences, providing a systematic arrangement of the chemical elements according to their atomic numbers and chemical properties. This iconic table is divided into rows called periods and columns called groups, which exhibit similar chemical characteristics. The elements on the periodic table are electrically neutral atoms with an equal number of protons and electrons, and isotopes are listed together. Dmitri Mendeleev formulated the first periodic table in 1869, based on the periodic law that chemical properties depend on atomic mass. Since then, scientists have discovered all 118 elements and the table has continued to evolve with scientific progress. However, there is still discussion on whether some elements are correctly positioned in the table and alternative representations exist. Despite these debates, the periodic table remains an indispensable tool in modern chemistry, providing a foundation for understanding the fundamental building blocks of matter.",Alphabet,"['book', 'atom', 'Molecular Symmetry', 'Reactor', 'Human Body', 'Bookshelf', 'Prospecting', 'laboratory', 'Computer Processor', 'Chemical Reactions']","[0.3156447023375857, 0.3121648780955296, 0.2921270113753419, 0.2911534405311605, 0.28546728879671457, 0.283925407426173, 0.2808573067851339, 0.27185623826308747, 0.2699353845042613, 0.269847570548196]","['book', 'Bookshelf', 'Chemical Reactions']","[0.3156447023375857, 0.283925407426173, 0.269847570548196]",-1,name_properties,embedding_llm_top10_to_3
101,Chemical Analysis,"Chemical analysis is a field of analytical chemistry that involves using various instruments and methods to separate, identify, and quantify matter. The process of analysis may involve separation, identification or quantification either alone or in combination. An analysis object can be identified through qualitative analysis which provides information about differences in color, odor, melting point etc. On the other hand, quantitative analysis determines the numerical amount or concentration. There are classical qualitative and quantitative methods that utilize precipitation, extraction, and distillation, while modern instrumental methods use techniques such as chromatography, electrophoresis or field flow fractionation. The analysis process involves the use of various instruments that can separate, identify and quantify analytes using light, heat, electric and magnetic fields. With the same instrument, an analyte can be isolated, identified and quantified in one step. With a focus on experimental design, chemometrics, and creating new measurement tools, chemical analysis has applications in medicine, science, and engineering. Overall, chemical analysis plays an important role in understanding the composition and behavior of materials, and the development of new products and technologies.",Translation,"['Chemical Reactions', 'Mathematical Calculations', 'Prospecting', 'Crime Scene', 'Cooking', 'idea', 'Student', 'laboratory', 'Building', 'Molecular Symmetry']","[0.49994808468628876, 0.313448936642292, 0.3091963643771408, 0.3001977596032101, 0.28691448608335585, 0.2858225243703991, 0.2737004468745155, 0.2736199072212346, 0.25557535712938884, 0.2474657939551077]","['Chemical Reactions', 'Mathematical Calculations', 'Prospecting']","[0.49994808468628876, 0.313448936642292, 0.3091963643771408]",-1,name_properties,embedding_llm_top10_to_3
102,Chemistry,"Chemistry is a pivotal scientific discipline that studies the properties and behavior of all the substances that make up the world around us. It deals with various components of matter such as atoms, molecules, and ions, their composition, structure, and properties. Reaction speed is one of the fundamental aspects of chemistry that dictates the rate at which a reactant is transformed into a product. In chemistry, a reactant is the starting substance in a chemical reaction which undergoes changes to become the product, which is the outcome of a chemical reaction. From exploring the basics of chemical bonding to studying chemical reactions, chemistry provides a foundation for understanding both basic and applied scientific disciplines at a fundamental level.",Dance,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.4831205996931062, 0.3438901412145125, 0.33320710476254234, 0.315991947501236, 0.31518762087149604, 0.2976316462461812, 0.2965088154800936, 0.29502308602831967, 0.27807252480065225, 0.2773231436677767]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.4831205996931062, 0.2976316462461812, 0.29502308602831967]",-1,name_properties,embedding_llm_top10_to_3
103,chemical element,"A chemical element is a fundamental building block of matter that cannot be broken down into simpler substances. Each element is characterized by the number of protons in its nucleus, which determines its unique properties. When elements participate in chemical reactions, they can be combined or rearranged to form different compounds. While some elements, such as silver and gold, occur naturally in a pure form, most are found in complex compounds and mixtures. The discovery and classification of elements has a long history, and modern scientists continue to explore and discover new ones. The periodic table is a valuable tool used by chemists to understand the properties and relationships between elements.",human,"['atom', 'Chemical Reactions', 'Prospecting', 'Computer Processor', 'Reactor', 'gas molecules', 'Circuits', 'heat', 'engine', 'Burning Energy']","[0.3968969673589239, 0.3377492245879651, 0.3218674961126452, 0.3099747182725089, 0.2942448193541215, 0.294005039509007, 0.2932179650295843, 0.29028824268327824, 0.28418895529880167, 0.2811356680018343]","['atom', 'Reactor', 'gas molecules']","[0.3968969673589239, 0.2942448193541215, 0.294005039509007]",-1,name_properties,embedding_llm_top10_to_3
104,Chemical reaction,"A chemical reaction is a process that changes one set of substances, known as reactants or reagents, into another set of substances, known as products. These reactions usually involve the breaking and forming of chemical bonds between atoms, but can also include nuclear changes in the case of unstable and radioactive elements. Chemical reactions occur at a characteristic rate, which can be increased by increasing temperature or chemical concentration. Reactions can proceed in the forward or reverse direction and may reach equilibrium, with the direction of the reaction depending on factors such as spontaneity and energy input. Chemical reactions can be described using chemical equations and classified as redox or nonredox reactions. Enzymes can increase the rates of biochemical reactions, while the concept of a chemical reaction can be extended to nuclear reactions, radioactive decays, and reactions between elementary particles.",object slides,"['Chemical Reactions', 'Reactor', 'Burning Energy', 'Makeup', 'Disassembly', 'bacterial mutation', 'Evolution', 'gas molecules', 'Friction', 'Cooking']","[0.6679107291794893, 0.3475180224144642, 0.3401222357239865, 0.28267204697838316, 0.27316134933968694, 0.2700261633198756, 0.269445095388652, 0.2663997931017181, 0.252536239989109, 0.25121552389055907]","['Chemical Reactions', 'Reactor', 'Burning Energy']","[0.6679107291794893, 0.3475180224144642, 0.3401222357239865]",-1,name_properties,embedding_llm_top10_to_3
105,Chemical Reaction,"A chemical reaction is a fundamental process that leads to the transformation of one or more chemicals into another set of chemicals. The reaction process involves the breaking and forming of chemical bonds between atoms, resulting in the creation of new molecules or compounds. The reaction speed is determined by various factors, such as temperature, concentration, and the presence of a catalyst or active site. Chemical reactions can be classified as redox or nonredox, with the former involving oxidation and reduction of molecules. The reaction mechanism comprises a sequence of individual sub-steps or elementary reactions. Enzymes play a crucial role in metabolic pathways by catalyzing the reactions that enable syntheses and decompositions to occur within a cell. The general concept of a chemical reaction has been extended to include reactions between atomic particles, nuclear reactions, and radioactive decays, as described by quantum field theory.",Urban Transportation,"['Chemical Reactions', 'Reactor', 'Burning Energy', 'Makeup', 'Disassembly', 'gas molecules', 'bacterial mutation', 'Evolution', 'Friction', 'Mathematical Calculations']","[0.672628159760699, 0.3621950040189985, 0.32957557416651134, 0.2657372309358088, 0.2583444986491242, 0.25761909546895134, 0.25702600548748816, 0.2535180566874254, 0.2506895483270074, 0.24887013904474167]","['Chemical Reactions', 'Burning Energy', 'gas molecules']","[0.672628159760699, 0.32957557416651134, 0.25761909546895134]",-1,name_properties,embedding_llm_top10_to_3
106,Chemistry,"Chemistry is a fascinating field of science that deals with the properties and behavior of matter. It involves the study of various elements, compounds, molecules, and ions, and their structure, composition, properties, and changes during a reaction with other substances. Reactants, intermediates, and products form the basis of chemistry by allowing us to understand the mechanism of chemical reactions. Not only does chemistry play a significant role in advancing our knowledge of the natural world, but it also has practical applications in many other disciplines. This is why chemistry is often called the central science, as it forms the foundation for understanding basic and applied scientific fields like botany, geology, ecology, cosmology, pharmacology, and forensics. Chemistry offers a unique perspective on the physical and chemical changes that occur in the natural world and helps to solve real-world problems in a wide range of scientific and industrial contexts.",The Movie,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48307358094600616, 0.34379251139200107, 0.33313122561574704, 0.3159393866014949, 0.315130502407187, 0.2975794413434345, 0.2964556854618464, 0.29503184097470214, 0.27801484948822675, 0.2772776580877876]","['Chemical Reactions', 'Burning Energy', 'atom']","[0.48307358094600616, 0.34379251139200107, 0.33313122561574704]",-1,name_properties,embedding_llm_top10_to_3
107,Chemistry,"Chemistry is a fundamental branch of science that focuses on the study of matter, its composition, properties, and behavior. It explores the nature of chemical substances and their reactions with other substances, including changes that occur during a reaction. Chemistry takes an intermediate place between physics and biology, providing a foundation for understanding various scientific disciplines from a fundamental level. It discusses topics such as temperature, pressure, reactant concentration, reactants, and products. The field of chemistry has numerous applications, ranging from explaining the process of plant growth, formation of rocks, the chemistry of the atmosphere, and the action of drugs to collecting DNA evidence in forensics. As a scientist in this field, one often explores the relationships between temperature, pressure, reactant concentration, reactants, and products to gain a deeper understanding of the behavior of matter.",Cooking,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298702195745247, 0.34378091443710473, 0.3331061411612236, 0.315860119361011, 0.3150738505803793, 0.2975643020387711, 0.29642761835694464, 0.2950049996389638, 0.2779586982498953, 0.27722869586457377]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.48298702195745247, 0.2975643020387711, 0.2950049996389638]",2,name_properties,embedding_llm_top10_to_3
108,Chemical Substances,"Chemical substances are the building blocks of everything around us, from the air we breathe to the food we eat. They are defined as matter with constant chemical composition and unique properties. Chemical substances come in different forms - simple substances, chemical compounds or even alloys. Often referred to as 'pure', chemical substances are different from mixtures since they possess the same physical and chemical properties regardless of their origin.
Some of the well-known examples of chemical substances include water, diamond, gold, table salt, and sucrose. Although no substance is completely pure, the intended use of a chemical determines its purity. Chemical reactions can be used to combine or change the form of chemical substances. Moreover, they exist in different states like solids, liquids, gases or plasma, and can transform between these phases depending on variations in temperature, pressure, and time.
When it comes to chemical substances, their acidic or alkaline properties are critical in determining their behavior in different environments. Measured on the pH scale, an acidic substance has values below 7, while an alkaline substance has values above 7. Understanding the pH value of chemical substances is essential in various fields like agriculture, medicine, and industrial manufacturing, among others.",Human Emotions,"['Chemical Reactions', 'sponge', 'Buildings', 'Reactor', 'Plants', 'state', 'gas molecules', 'Disassembly', 'Manual', 'Skin System']","[0.5164391693373238, 0.31936244737953967, 0.299844752491939, 0.29768184724813795, 0.29554973709222254, 0.29501792519982484, 0.2914095478358967, 0.2821004074817426, 0.27203673255000776, 0.2705817079615555]","['Chemical Reactions', 'sponge', 'Buildings']","[0.5164391693373238, 0.31936244737953967, 0.299844752491939]",-1,name_properties,embedding_llm_top10_to_3
109,Chemistry,"Chemistry is a physical science that explores the properties and behavior of different forms of matter, from the elements that make up substances to the compounds made of atoms, molecules, and ions. Among the topics, it covers are the composition, structure, properties, behavior, and changes of matter when it reacts with other substances. The science of chemistry also investigates the nature of chemical bonds in chemical compounds, making it an essential science that occupies an intermediate position between physics and biology. As a central science, the study of chemistry provides a foundation for understanding different scientific disciplines at a fundamental level, from basic to applied fields. Knowledge of chemistry helps to explain aspects of plant growth, environmental changes, medications, and forensics. To understand chemical reactions, chemists consider factors such as reactants' properties, reaction conditions, and other variables that influence how reactants interact with each other.",Football Game,"['Chemical Reactions', 'Burning Energy', 'atom', 'laboratory', 'Human Body', 'Cooking', 'Molecular Symmetry', 'gas molecules', 'The Law of Means', 'Mathematical Calculations']","[0.48298281490695916, 0.3438208870179878, 0.33310823944653917, 0.3158516362271696, 0.315107864387673, 0.2975529557805226, 0.2964586237292101, 0.29496675423484264, 0.2780173838352684, 0.2772788003480915]","['Chemical Reactions', 'Cooking', 'gas molecules']","[0.48298281490695916, 0.2975529557805226, 0.29496675423484264]",-1,name_properties,embedding_llm_top10_to_3
110,Chemical Reaction,"A chemical reaction is a fundamental process of transforming one set of chemical substances, known as reactants or reagents, into another set, identified as products. This process involves a change in the positions of electrons in the forming and breaking of chemical bonds between atoms. Generally characterized by a chemical change, chemical reactions follow a specific reaction process consisting of a sequence of individual sub-steps which are presented symbolically in chemical equations. The rate of these reactions is directly proportional to temperature and chemical concentration, and reactions may proceed in the forward or reverse direction until they go to completion or reach equilibrium. Various chemical reactions are used to obtain desired products through chemical synthesis, and the steps involved in such reactions are often catalyzed by enzymes. Ultimately, the scope of chemical reactions has been extended to include reactions between entities smaller than atoms, such as nuclear reactions and reactions between elementary particles.",Computer,"['Chemical Reactions', 'Reactor', 'Burning Energy', 'Makeup', 'Disassembly', 'gas molecules', 'bacterial mutation', 'Evolution', 'Friction', 'Mathematical Calculations']","[0.6726110945643481, 0.3621946560788099, 0.329643682634016, 0.26580214400898494, 0.2584208453670664, 0.2576081766323829, 0.2570054130540777, 0.2535191639415839, 0.25071123771205267, 0.24884545163977567]","['Chemical Reactions', 'Burning Energy', 'Friction']","[0.6726110945643481, 0.329643682634016, 0.25071123771205267]",-1,name_properties,embedding_llm_top10_to_3
